# (E [MeV])  (Flux [1/MeV/cm^2/s]
5.995000E-03  8.979956E+04
7.183200E-03  1.426668E+05
8.371400E-03  1.955313E+05
9.559600E-03  2.483986E+05
1.074800E-02  3.012686E+05
1.193600E-02  3.541442E+05
1.312400E-02  4.397126E+05
1.431200E-02  5.268656E+05
1.550100E-02  6.140186E+05
1.668900E-02  7.011438E+05
1.787700E-02  7.882968E+05
1.906500E-02  9.058908E+05
2.025300E-02  1.026543E+06
2.144200E-02  1.147167E+06
2.263000E-02  1.267819E+06
2.381800E-02  1.388471E+06
2.500600E-02  1.537368E+06
2.619400E-02  1.690740E+06
2.738200E-02  1.844085E+06
2.857100E-02  1.997458E+06
2.975900E-02  2.150830E+06
3.094700E-02  2.330307E+06
3.213500E-02  2.515594E+06
3.332300E-02  2.700881E+06
3.451200E-02  2.886196E+06
3.570000E-02  3.071344E+06
3.688800E-02  3.280956E+06
3.807600E-02  3.497518E+06
3.926400E-02  3.714080E+06
4.045300E-02  3.930642E+06
4.164100E-02  4.146926E+06
4.282900E-02  4.385728E+06
4.401700E-02  4.632592E+06
4.520500E-02  4.879456E+06
4.639400E-02  5.126320E+06
4.758200E-02  5.373184E+06
4.877000E-02  5.640342E+06
4.995800E-02  5.916952E+06
5.114600E-02  6.193562E+06
5.233500E-02  6.470172E+06
5.352300E-02  6.746782E+06
5.471100E-02  7.041740E+06
5.589900E-02  7.347262E+06
5.708700E-02  7.652784E+06
5.827600E-02  7.958306E+06
5.946400E-02  8.263828E+06
6.065200E-02  8.586030E+06
6.184000E-02  8.919630E+06
6.302800E-02  9.253508E+06
6.421600E-02  9.587108E+06
6.540500E-02  9.920708E+06
6.659300E-02  1.026932E+07
6.778100E-02  1.063044E+07
6.896900E-02  1.099156E+07
7.015700E-02  1.135269E+07
7.134600E-02  1.171381E+07
7.253400E-02  1.208827E+07
7.372200E-02  1.247608E+07
7.491000E-02  1.286389E+07
7.609800E-02  1.325198E+07
7.728700E-02  1.363979E+07
7.847500E-02  1.403928E+07
7.966300E-02  1.445322E+07
8.085100E-02  1.486688E+07
8.203900E-02  1.528083E+07
8.322800E-02  1.569449E+07
8.441600E-02  1.611872E+07
8.560400E-02  1.655768E+07
8.679200E-02  1.699692E+07
8.798000E-02  1.743588E+07
8.916900E-02  1.787484E+07
9.035700E-02  1.832298E+07
9.154500E-02  1.878668E+07
9.273300E-02  1.925011E+07
9.392100E-02  1.971381E+07
9.510900E-02  2.017724E+07
9.629800E-02  2.064845E+07
9.748600E-02  2.113551E+07
9.867400E-02  2.162256E+07
9.986200E-02  2.210962E+07
1.010500E-01  2.259667E+07
1.022400E-01  2.309012E+07
1.034300E-01  2.360109E+07
1.046200E-01  2.411205E+07
1.058000E-01  2.462329E+07
1.069900E-01  2.513426E+07
1.081800E-01  2.565023E+07
1.093700E-01  2.618287E+07
1.105600E-01  2.671580E+07
1.117400E-01  2.724873E+07
1.129300E-01  2.778137E+07
1.141200E-01  2.831708E+07
1.153100E-01  2.887308E+07
1.165000E-01  2.942630E+07
1.176900E-01  2.998230E+07
1.188700E-01  3.053830E+07
1.200600E-01  3.109430E+07
1.212500E-01  3.166976E+07
1.224400E-01  3.224522E+07
1.236300E-01  3.282068E+07
1.248100E-01  3.339614E+07
1.260000E-01  3.397438E+07
1.271900E-01  3.456930E+07
1.283800E-01  3.516700E+07
1.295700E-01  3.576192E+07
1.307600E-01  3.635962E+07
1.319400E-01  3.695732E+07
1.331300E-01  3.757170E+07
1.343200E-01  3.818886E+07
1.355100E-01  3.880324E+07
1.367000E-01  3.942040E+07
1.378800E-01  4.003478E+07
1.390700E-01  4.066862E+07
