# (E [MeV])  (Flux [1/MeV/cm^2/s]
3.464000E-03  8.332430E+03
5.190800E-03  2.073985E+04
6.917500E-03  3.314645E+04
8.644300E-03  5.368130E+04
1.037100E-02  7.426330E+04
1.209800E-02  1.028444E+05
1.382500E-02  1.315219E+05
1.555100E-02  1.680713E+05
1.727800E-02  2.047663E+05
1.900500E-02  2.492185E+05
2.073200E-02  2.938470E+05
2.245800E-02  3.461015E+05
2.418500E-02  3.986020E+05
2.591200E-02  4.586055E+05
2.763900E-02  5.188755E+05
2.936500E-02  5.865255E+05
3.109200E-02  6.545035E+05
3.281900E-02  7.297385E+05
3.454600E-02  8.053630E+05
3.627200E-02  8.881010E+05
3.799900E-02  9.712695E+05
3.972600E-02  1.061449E+06
4.145300E-02  1.152080E+06
4.318000E-02  1.249618E+06
4.490600E-02  1.347650E+06
4.663300E-02  1.452466E+06
4.836000E-02  1.557816E+06
5.008700E-02  1.669828E+06
5.181300E-02  1.782414E+06
5.354000E-02  1.901560E+06
5.526700E-02  2.021320E+06
5.699400E-02  2.147580E+06
5.872000E-02  2.274475E+06
6.044700E-02  2.407725E+06
6.217400E-02  2.541590E+06
6.390100E-02  2.681605E+06
6.562700E-02  2.822235E+06
6.735400E-02  2.969220E+06
6.908100E-02  3.117025E+06
7.080800E-02  3.270570E+06
7.253500E-02  3.425140E+06
7.426100E-02  3.585450E+06
7.598800E-02  3.746580E+06
7.771500E-02  3.913655E+06
7.944200E-02  4.081550E+06
8.116800E-02  4.254980E+06
8.289500E-02  4.429230E+06
8.462200E-02  4.609220E+06
8.634900E-02  4.790235E+06
8.807500E-02  4.976580E+06
8.980200E-02  5.163745E+06
9.152900E-02  5.356445E+06
9.325600E-02  5.550170E+06
9.498200E-02  5.749020E+06
9.670900E-02  5.948895E+06
9.843600E-02  6.153895E+06
1.001600E-01  6.359715E+06
1.018900E-01  6.571070E+06
1.036200E-01  6.783655E+06
1.053400E-01  7.001160E+06
1.070700E-01  7.219690E+06
1.088000E-01  7.442730E+06
1.105200E-01  7.666590E+06
1.122500E-01  7.895780E+06
1.139800E-01  8.126200E+06
1.157000E-01  8.360925E+06
1.174300E-01  8.596470E+06
1.191600E-01  8.837345E+06
1.208800E-01  9.079245E+06
1.226100E-01  9.326065E+06
1.243400E-01  9.573910E+06
1.260600E-01  9.825650E+06
1.277900E-01  1.007821E+07
1.295200E-01  1.033590E+07
1.312400E-01  1.059481E+07
1.329700E-01  1.085742E+07
1.347000E-01  1.112125E+07
1.364200E-01  1.138960E+07
1.381500E-01  1.165958E+07
1.398800E-01  1.193366E+07
1.416100E-01  1.220878E+07
1.433300E-01  1.248758E+07
1.450600E-01  1.276720E+07
1.467900E-01  1.305153E+07
1.485100E-01  1.333710E+07
1.502400E-01  1.362614E+07
1.519700E-01  1.391642E+07
1.536900E-01  1.421060E+07
1.554200E-01  1.450662E+07
1.571500E-01  1.480612E+07
1.588700E-01  1.510727E+07
1.606000E-01  1.541108E+07
1.623300E-01  1.571612E+07
1.640500E-01  1.602526E+07
1.657800E-01  1.633604E+07
1.675100E-01  1.664969E+07
1.692300E-01  1.696436E+07
1.709600E-01  1.728314E+07
1.726900E-01  1.760335E+07
1.744100E-01  1.792684E+07
1.761400E-01  1.825197E+07
1.778700E-01  1.857936E+07
1.795900E-01  1.890797E+07
1.813200E-01  1.924048E+07
1.830500E-01  1.957463E+07
1.847700E-01  1.991104E+07
1.865000E-01  2.024867E+07
1.882300E-01  2.059020E+07
1.899500E-01  2.093255E+07
1.916800E-01  2.127900E+07
1.934100E-01  2.162545E+07
1.951300E-01  2.197395E+07
1.968600E-01  2.232655E+07
1.985900E-01  2.267915E+07
2.003100E-01  2.303585E+07
2.020400E-01  2.339460E+07
2.037700E-01  2.375335E+07
2.055000E-01  2.411415E+07
2.072200E-01  2.447905E+07
2.089500E-01  2.484395E+07
2.106800E-01  2.521295E+07
2.124000E-01  2.558400E+07
2.141300E-01  2.595505E+07
2.158600E-01  2.632815E+07
2.175800E-01  2.670330E+07
2.193100E-01  2.708050E+07
2.210400E-01  2.745975E+07
2.227600E-01  2.784105E+07
2.244900E-01  2.822440E+07
2.262200E-01  2.860980E+07
2.279400E-01  2.899725E+07
2.296700E-01  2.938675E+07
2.314000E-01  2.977625E+07
2.331200E-01  3.016780E+07
2.348500E-01  3.056140E+07
2.365800E-01  3.095705E+07
2.383000E-01  3.135475E+07
2.400300E-01  3.175245E+07
2.417600E-01  3.215425E+07
2.434800E-01  3.255810E+07
2.452100E-01  3.296195E+07
2.469400E-01  3.336785E+07
2.486600E-01  3.377375E+07
2.503900E-01  3.418375E+07
2.521200E-01  3.459375E+07
2.538400E-01  3.500580E+07
2.555700E-01  3.541785E+07
2.573000E-01  3.583400E+07
2.590200E-01  3.625220E+07
2.607500E-01  3.667040E+07
2.624800E-01  3.709065E+07
2.642100E-01  3.751295E+07
2.659300E-01  3.793525E+07
2.676600E-01  3.835960E+07
2.693900E-01  3.878395E+07
2.711100E-01  3.921240E+07
2.728400E-01  3.964085E+07
2.745700E-01  4.006930E+07
2.762900E-01  4.050185E+07
2.780200E-01  4.093440E+07
2.797500E-01  4.137105E+07
2.814700E-01  4.180565E+07
2.832000E-01  4.224230E+07
2.849300E-01  4.268100E+07
2.866500E-01  4.312175E+07
2.883800E-01  4.356045E+07
2.901100E-01  4.400120E+07
2.918300E-01  4.444605E+07
2.935600E-01  4.489090E+07
2.952900E-01  4.533780E+07
2.970100E-01  4.578470E+07
2.987400E-01  4.623365E+07
3.004700E-01  4.668260E+07
3.021900E-01  4.713155E+07
3.039200E-01  4.758460E+07
3.056500E-01  4.803765E+07
3.073700E-01  4.849070E+07
3.091000E-01  4.894375E+07
3.108300E-01  4.940295E+07
3.125500E-01  4.986010E+07
3.142800E-01  5.031930E+07
3.160100E-01  5.077850E+07
3.177300E-01  5.123770E+07
3.194600E-01  5.169895E+07
3.211900E-01  5.216225E+07
3.229200E-01  5.262555E+07
3.246400E-01  5.309090E+07
3.263700E-01  5.355625E+07
3.281000E-01  5.402160E+07
3.298200E-01  5.448900E+07
3.315500E-01  5.496050E+07
3.332800E-01  5.542995E+07
3.350000E-01  5.589735E+07
3.367300E-01  5.636885E+07
3.384600E-01  5.684240E+07
3.401800E-01  5.731390E+07
3.419100E-01  5.778745E+07
3.436400E-01  5.826100E+07
3.453600E-01  5.873660E+07
3.470900E-01  5.921220E+07
3.488200E-01  5.968985E+07
3.505400E-01  6.016750E+07
3.522700E-01  6.064515E+07
3.540000E-01  6.112485E+07
3.557200E-01  6.160455E+07
3.574500E-01  6.208630E+07
3.591800E-01  6.256600E+07
3.609000E-01  6.304775E+07
3.626300E-01  6.353155E+07
3.643600E-01  6.401535E+07
3.660800E-01  6.449915E+07
3.678100E-01  6.498295E+07
3.695400E-01  6.546880E+07
3.712600E-01  6.595465E+07
3.729900E-01  6.644050E+07
3.747200E-01  6.692840E+07
3.764400E-01  6.741630E+07
3.781700E-01  6.790420E+07
3.799000E-01  6.839210E+07
3.816300E-01  6.888205E+07
3.833500E-01  6.937405E+07
3.850800E-01  6.986400E+07
3.868100E-01  7.035395E+07
3.885300E-01  7.084390E+07
3.902600E-01  7.133590E+07
3.919900E-01  7.182790E+07
3.937100E-01  7.232195E+07
3.954400E-01  7.281395E+07
3.971700E-01  7.330800E+07
3.988900E-01  7.380410E+07
4.006200E-01  7.429815E+07
4.023500E-01  7.479220E+07
4.040700E-01  7.528625E+07
4.058000E-01  7.578030E+07
4.075300E-01  7.627640E+07
4.092500E-01  7.677250E+07
4.109800E-01  7.726860E+07
4.127100E-01  7.776675E+07
4.144300E-01  7.826490E+07
4.161600E-01  7.876305E+07
4.178900E-01  7.926120E+07
4.196100E-01  7.975730E+07
4.213400E-01  8.025545E+07
4.230700E-01  8.075360E+07
4.247900E-01  8.125175E+07
4.265200E-01  8.175195E+07
4.282500E-01  8.225010E+07
4.299700E-01  8.274825E+07
4.317000E-01  8.324845E+07
4.334300E-01  8.374660E+07
4.351500E-01  8.424885E+07
4.368800E-01  8.474700E+07
4.386100E-01  8.524720E+07
4.403300E-01  8.574535E+07
4.420600E-01  8.624760E+07
4.437900E-01  8.674780E+07
4.455200E-01  8.724595E+07
4.472400E-01  8.774615E+07
4.489700E-01  8.824840E+07
4.507000E-01  8.874860E+07
4.524200E-01  8.924880E+07
4.541500E-01  8.974900E+07
4.558800E-01  9.024920E+07
4.576000E-01  9.074940E+07
4.593300E-01  9.124960E+07
4.610600E-01  9.175185E+07
