# (E [MeV])  (Flux [1/MeV/cm^2/s]
3.480000E-03  2.149856E+02
5.214800E-03  5.351364E+02
6.949500E-03  8.552343E+02
8.684300E-03  1.385028E+03
1.041900E-02  1.916091E+03
1.215400E-02  2.653517E+03
1.388900E-02  3.393429E+03
1.562300E-02  4.336583E+03
1.735800E-02  5.283493E+03
1.909300E-02  6.429995E+03
2.082800E-02  7.581628E+03
2.256200E-02  8.930049E+03
2.429700E-02  1.028429E+04
2.603200E-02  1.183214E+04
2.776700E-02  1.338740E+04
2.950100E-02  1.513310E+04
3.123600E-02  1.688727E+04
3.297100E-02  1.882817E+04
3.470600E-02  2.077859E+04
3.644000E-02  2.291364E+04
3.817500E-02  2.505926E+04
3.991000E-02  2.738580E+04
4.164500E-02  2.972398E+04
4.337900E-02  3.224043E+04
4.511400E-02  3.476958E+04
4.684900E-02  3.747383E+04
4.858400E-02  4.019183E+04
5.031800E-02  4.308176E+04
5.205300E-02  4.598650E+04
5.378800E-02  4.906052E+04
5.552300E-02  5.215041E+04
5.725700E-02  5.540746E+04
5.899200E-02  5.867668E+04
6.072700E-02  6.211518E+04
6.246200E-02  6.556955E+04
6.419600E-02  6.918262E+04
6.593100E-02  7.281685E+04
6.766600E-02  7.660449E+04
6.940100E-02  8.041329E+04
7.113500E-02  8.438079E+04
7.287000E-02  8.836416E+04
7.460500E-02  9.250094E+04
7.634000E-02  9.665888E+04
7.807400E-02  1.009702E+05
7.980900E-02  1.052974E+05
8.154400E-02  1.097728E+05
8.327900E-02  1.142746E+05
8.501300E-02  1.189192E+05
8.674800E-02  1.235850E+05
8.848300E-02  1.283936E+05
9.021800E-02  1.332234E+05
9.195200E-02  1.381907E+05
9.368700E-02  1.431897E+05
9.542200E-02  1.483210E+05
9.715700E-02  1.534788E+05
9.889200E-02  1.587688E+05
1.006300E-01  1.640905E+05
1.023600E-01  1.695392E+05
1.041000E-01  1.750144E+05
1.058300E-01  1.806165E+05
1.075700E-01  1.862503E+05
1.093000E-01  1.920058E+05
1.110300E-01  1.977931E+05
1.127700E-01  2.037020E+05
1.145000E-01  2.096427E+05
1.162400E-01  2.156998E+05
1.179700E-01  2.217885E+05
1.197100E-01  2.279990E+05
1.214400E-01  2.342359E+05
1.231800E-01  2.405892E+05
1.249100E-01  2.469742E+05
1.266500E-01  2.534704E+05
1.283800E-01  2.600035E+05
1.301200E-01  2.666477E+05
1.318500E-01  2.733184E+05
1.335900E-01  2.801002E+05
1.353200E-01  2.869137E+05
1.370600E-01  2.938383E+05
1.387900E-01  3.007947E+05
1.405300E-01  3.078515E+05
1.422600E-01  3.149454E+05
1.440000E-01  3.221398E+05
1.457300E-01  3.293660E+05
1.474600E-01  3.366979E+05
1.492000E-01  3.440616E+05
1.509300E-01  3.515205E+05
1.526700E-01  3.590164E+05
1.544000E-01  3.666076E+05
1.561400E-01  3.742305E+05
1.578700E-01  3.819539E+05
1.596100E-01  3.897037E+05
1.613400E-01  3.975541E+05
1.630800E-01  4.054362E+05
1.648100E-01  4.134082E+05
1.665500E-01  4.214173E+05
1.682800E-01  4.295110E+05
1.700200E-01  4.376417E+05
1.717500E-01  4.458571E+05
1.734900E-01  4.541095E+05
1.752200E-01  4.624465E+05
1.769600E-01  4.708153E+05
1.786900E-01  4.792740E+05
1.804200E-01  4.877644E+05
1.821600E-01  4.963343E+05
1.838900E-01  5.049411E+05
1.856300E-01  5.136273E+05
1.873600E-01  5.223505E+05
1.891000E-01  5.311689E+05
1.908300E-01  5.400032E+05
1.925700E-01  5.488904E+05
1.943000E-01  5.578834E+05
1.960400E-01  5.668764E+05
1.977700E-01  5.759223E+05
1.995100E-01  5.850740E+05
2.012400E-01  5.942257E+05
2.029800E-01  6.034832E+05
2.047100E-01  6.127407E+05
2.064500E-01  6.220511E+05
2.081800E-01  6.314673E+05
2.099200E-01  6.408835E+05
2.116500E-01  6.503526E+05
2.133900E-01  6.599275E+05
2.151200E-01  6.695024E+05
2.168500E-01  6.791302E+05
2.185900E-01  6.888109E+05
2.203200E-01  6.985445E+05
2.220600E-01  7.083310E+05
2.237900E-01  7.181704E+05
2.255300E-01  7.280627E+05
2.272600E-01  7.380079E+05
2.290000E-01  7.479531E+05
2.307300E-01  7.580041E+05
2.324700E-01  7.680551E+05
2.342000E-01  7.781590E+05
2.359400E-01  7.883158E+05
2.376700E-01  7.985255E+05
2.394100E-01  8.087352E+05
2.411400E-01  8.190507E+05
2.428800E-01  8.293662E+05
2.446100E-01  8.397875E+05
2.463500E-01  8.502088E+05
2.480800E-01  8.606301E+05
2.498200E-01  8.711572E+05
2.515500E-01  8.816843E+05
2.532800E-01  8.923172E+05
2.550200E-01  9.029501E+05
2.567500E-01  9.135830E+05
2.584900E-01  9.243217E+05
2.602200E-01  9.350604E+05
2.619600E-01  9.458520E+05
2.636900E-01  9.566965E+05
2.654300E-01  9.675939E+05
2.671600E-01  9.784384E+05
2.689000E-01  9.893887E+05
2.706300E-01  1.000392E+06
2.723700E-01  1.011448E+06
2.741000E-01  1.022451E+06
2.758400E-01  1.033560E+06
2.775700E-01  1.044722E+06
2.793100E-01  1.055831E+06
2.810400E-01  1.067046E+06
2.827800E-01  1.078261E+06
2.845100E-01  1.089528E+06
2.862500E-01  1.100796E+06
2.879800E-01  1.112170E+06
2.897100E-01  1.123543E+06
2.914500E-01  1.134970E+06
2.931800E-01  1.146396E+06
2.949200E-01  1.157822E+06
2.966500E-01  1.169302E+06
2.983900E-01  1.180887E+06
3.001200E-01  1.192419E+06
3.018600E-01  1.204004E+06
3.035900E-01  1.215642E+06
3.053300E-01  1.227280E+06
3.070600E-01  1.238971E+06
3.088000E-01  1.250662E+06
3.105300E-01  1.262406E+06
3.122700E-01  1.274149E+06
3.140000E-01  1.285946E+06
3.157400E-01  1.297743E+06
3.174700E-01  1.309592E+06
3.192100E-01  1.321495E+06
3.209400E-01  1.333397E+06
3.226700E-01  1.345353E+06
3.244100E-01  1.357255E+06
3.261400E-01  1.369264E+06
3.278800E-01  1.381219E+06
3.296100E-01  1.393280E+06
3.313500E-01  1.405341E+06
3.330800E-01  1.417403E+06
3.348200E-01  1.429517E+06
3.365500E-01  1.441631E+06
3.382900E-01  1.453745E+06
3.400200E-01  1.465912E+06
3.417600E-01  1.478132E+06
3.434900E-01  1.490352E+06
3.452300E-01  1.502572E+06
3.469600E-01  1.514844E+06
3.487000E-01  1.527064E+06
3.504300E-01  1.539390E+06
3.521700E-01  1.551716E+06
3.539000E-01  1.564041E+06
3.556400E-01  1.576367E+06
3.573700E-01  1.588746E+06
3.591000E-01  1.601177E+06
3.608400E-01  1.613556E+06
3.625700E-01  1.625987E+06
3.643100E-01  1.638419E+06
3.660400E-01  1.650850E+06
3.677800E-01  1.663335E+06
3.695100E-01  1.675819E+06
3.712500E-01  1.688356E+06
3.729800E-01  1.700894E+06
3.747200E-01  1.713431E+06
3.764500E-01  1.726021E+06
3.781900E-01  1.738558E+06
3.799200E-01  1.751149E+06
3.816600E-01  1.763739E+06
3.833900E-01  1.776329E+06
3.851300E-01  1.788972E+06
3.868600E-01  1.801615E+06
3.886000E-01  1.814258E+06
3.903300E-01  1.826954E+06
3.920700E-01  1.839650E+06
3.938000E-01  1.852346E+06
3.955300E-01  1.865042E+06
3.972700E-01  1.877738E+06
3.990000E-01  1.890434E+06
4.007400E-01  1.903183E+06
