# (E [MeV])  (Flux [1/MeV/cm^2/s]
2.000000E-02  4.437600E+01
3.633600E-02  1.514305E+02
5.267300E-02  3.101470E+02
6.900900E-02  5.186832E+02
8.534500E-02  7.752384E+02
1.016800E-01  1.078234E+03
1.180200E-01  1.432313E+03
1.343500E-01  1.832987E+03
1.506900E-01  2.273496E+03
1.670300E-01  2.752138E+03
1.833600E-01  3.267054E+03
1.997000E-01  3.817058E+03
2.160400E-01  4.407208E+03
2.323700E-01  5.027182E+03
2.487100E-01  5.674452E+03
2.650500E-01  6.346284E+03
2.813800E-01  7.040820E+03
2.977200E-01  7.753932E+03
3.140500E-01  8.469624E+03
3.303900E-01  9.193572E+03
3.467300E-01  9.983568E+03
3.630600E-01  1.086799E+04
3.794000E-01  1.178338E+04
3.957400E-01  1.273230E+04
4.120700E-01  1.370548E+04
4.284100E-01  1.470497E+04
4.447400E-01  1.573800E+04
4.610800E-01  1.681076E+04
4.774200E-01  1.791552E+04
4.937500E-01  1.904711E+04
5.100900E-01  2.019882E+04
5.264300E-01  2.137633E+04
5.427600E-01  2.258738E+04
5.591000E-01  2.384384E+04
5.754400E-01  2.513178E+04
5.917700E-01  2.644397E+04
6.081100E-01  2.777834E+04
6.244400E-01  2.913697E+04
6.407800E-01  3.052450E+04
6.571200E-01  3.194969E+04
6.734500E-01  3.339965E+04
6.897900E-01  3.487231E+04
7.061300E-01  3.636768E+04
7.224600E-01  3.788420E+04
7.388000E-01  3.942911E+04
7.551400E-01  4.100291E+04
7.714700E-01  4.259838E+04
7.878100E-01  4.421449E+04
8.041400E-01  4.584970E+04
8.204800E-01  4.750193E+04
8.368200E-01  4.918976E+04
8.531500E-01  5.089979E+04
8.694900E-01  5.263200E+04
8.858300E-01  5.437608E+04
9.021600E-01  5.614080E+04
9.185000E-01  5.792100E+04
9.348300E-01  5.974248E+04
9.511700E-01  6.157944E+04
9.675100E-01  6.343704E+04
9.838400E-01  6.531012E+04
1.000200E+00  6.720384E+04
1.016500E+00  6.910788E+04
1.032900E+00  7.104288E+04
1.049200E+00  7.300368E+04
1.065500E+00  7.497996E+04
1.081900E+00  7.697172E+04
1.098200E+00  7.897380E+04
1.114500E+00  8.099652E+04
1.130900E+00  8.304504E+04
1.147200E+00  8.510904E+04
1.163500E+00  8.719368E+04
1.179900E+00  8.928864E+04
1.196200E+00  9.140424E+04
1.212600E+00  9.353016E+04
1.228900E+00  9.567672E+04
1.245200E+00  9.783876E+04
1.261600E+00  1.000163E+05
1.277900E+00  1.022093E+05
1.294200E+00  1.044126E+05
1.310600E+00  1.066314E+05
1.326900E+00  1.088657E+05
1.343200E+00  1.111154E+05
1.359600E+00  1.133755E+05
1.375900E+00  1.156511E+05
1.392300E+00  1.179370E+05
1.408600E+00  1.202332E+05
1.424900E+00  1.225448E+05
1.441300E+00  1.248720E+05
1.457600E+00  1.272146E+05
1.473900E+00  1.295624E+05
1.490300E+00  1.319257E+05
1.506600E+00  1.342942E+05
1.522900E+00  1.366781E+05
1.539300E+00  1.390775E+05
1.555600E+00  1.414872E+05
1.572000E+00  1.439021E+05
1.588300E+00  1.463324E+05
1.604600E+00  1.487628E+05
1.621000E+00  1.512086E+05
1.637300E+00  1.536700E+05
1.653600E+00  1.561364E+05
1.670000E+00  1.586132E+05
1.686300E+00  1.610952E+05
1.702600E+00  1.635875E+05
1.719000E+00  1.660849E+05
1.735300E+00  1.685978E+05
1.751700E+00  1.711159E+05
1.768000E+00  1.736340E+05
1.784300E+00  1.761624E+05
1.800700E+00  1.786960E+05
1.817000E+00  1.812398E+05
1.833300E+00  1.837992E+05
1.849700E+00  1.863586E+05
1.866000E+00  1.889231E+05
1.882300E+00  1.914979E+05
1.898700E+00  1.940676E+05
1.915000E+00  1.966528E+05
1.931400E+00  1.992482E+05
1.947700E+00  2.018437E+05
1.964000E+00  2.044444E+05
1.980400E+00  2.070502E+05
1.996700E+00  2.096560E+05
2.013000E+00  2.122721E+05
2.029400E+00  2.148985E+05
2.045700E+00  2.175250E+05
2.062000E+00  2.201566E+05
2.078400E+00  2.227882E+05
2.094700E+00  2.254198E+05
2.111100E+00  2.280617E+05
2.127400E+00  2.307088E+05
2.143700E+00  2.333610E+05
2.160100E+00  2.360132E+05
2.176400E+00  2.386655E+05
2.192700E+00  2.413177E+05
2.209100E+00  2.439803E+05
2.225400E+00  2.466428E+05
2.241700E+00  2.493106E+05
2.258100E+00  2.519783E+05
2.274400E+00  2.546408E+05
2.290800E+00  2.573086E+05
2.307100E+00  2.599814E+05
2.323400E+00  2.626543E+05
2.339800E+00  2.653324E+05
2.356100E+00  2.680052E+05
2.372400E+00  2.706781E+05
2.388800E+00  2.733510E+05
2.405100E+00  2.760290E+05
2.421400E+00  2.787122E+05
2.437800E+00  2.813903E+05
2.454100E+00  2.840683E+05
2.470500E+00  2.867464E+05
2.486800E+00  2.894192E+05
2.503100E+00  2.920973E+05
2.519500E+00  2.947753E+05
2.535800E+00  2.974534E+05
2.552100E+00  3.001314E+05
2.568500E+00  3.027991E+05
2.584800E+00  3.054720E+05
2.601100E+00  3.081449E+05
2.617500E+00  3.108178E+05
2.633800E+00  3.134855E+05
2.650200E+00  3.161532E+05
2.666500E+00  3.188158E+05
2.682800E+00  3.214783E+05
2.699200E+00  3.241357E+05
2.715500E+00  3.267983E+05
