# (E [MeV])  (Flux [1/MeV/cm^2/s]
1.318300E+01  5.530654E-02
1.415300E+01  5.795103E-02
1.512200E+01  6.061343E-02
1.609200E+01  6.337386E-02
1.706100E+01  6.609318E-02
1.803100E+01  6.817694E-02
1.900000E+01  7.026702E-02
1.997000E+01  7.248990E-02
2.093900E+01  7.468012E-02
2.190900E+01  7.591751E-02
2.287800E+01  7.704740E-02
2.384800E+01  7.817096E-02
2.481700E+01  7.914486E-02
2.578700E+01  8.008187E-02
2.675700E+01  8.104628E-02
2.772600E+01  8.316482E-02
2.869600E+01  8.571655E-02
2.966500E+01  8.824404E-02
3.063500E+01  8.823983E-02
3.160400E+01  8.685171E-02
3.257400E+01  8.548256E-02
3.354300E+01  8.497032E-02
3.451300E+01  8.518428E-02
3.548200E+01  8.539719E-02
3.645200E+01  8.561115E-02
3.742100E+01  8.582300E-02
3.839100E+01  8.579455E-02
3.936000E+01  8.540667E-02
4.033000E+01  8.501986E-02
4.130000E+01  8.463198E-02
4.226900E+01  8.412185E-02
4.323900E+01  8.328813E-02
4.420800E+01  8.245442E-02
4.517800E+01  8.162176E-02
4.614700E+01  8.078805E-02
4.711700E+01  7.978253E-02
4.808600E+01  7.764396E-02
4.905600E+01  7.549380E-02
5.002500E+01  7.334154E-02
5.099500E+01  7.119032E-02
5.196400E+01  6.904016E-02
5.293400E+01  6.709448E-02
5.390400E+01  6.561572E-02
5.487300E+01  6.440994E-02
5.584300E+01  6.320311E-02
5.681200E+01  6.199628E-02
5.778200E+01  6.078840E-02
5.875100E+01  5.958262E-02
5.972100E+01  5.838211E-02
6.069000E+01  5.761586E-02
6.166000E+01  5.698873E-02
6.262900E+01  5.638268E-02
6.359900E+01  5.577663E-02
6.456800E+01  5.516952E-02
6.553800E+01  5.456347E-02
6.650800E+01  5.395742E-02
6.747700E+01  5.337878E-02
6.844700E+01  5.281383E-02
6.941600E+01  5.225416E-02
7.038600E+01  5.169554E-02
7.135500E+01  5.113586E-02
7.232500E+01  5.057619E-02
7.329400E+01  5.001652E-02
7.426400E+01  4.945684E-02
7.523300E+01  4.893827E-02
7.620300E+01  4.844395E-02
7.717200E+01  4.796859E-02
7.814200E+01  4.749429E-02
7.911100E+01  4.701894E-02
8.008100E+01  4.654359E-02
8.105100E+01  4.606929E-02
8.202000E+01  4.559393E-02
8.299000E+01  4.511963E-02
8.395900E+01  4.467590E-02
8.492900E+01  4.425114E-02
8.589800E+01  4.386116E-02
8.686800E+01  4.347223E-02
8.783700E+01  4.308330E-02
8.880700E+01  4.269332E-02
8.977600E+01  4.230334E-02
9.074600E+01  4.191442E-02
9.171500E+01  4.152444E-02
9.268500E+01  4.113551E-02
9.365500E+01  4.073710E-02
9.462400E+01  4.033763E-02
9.559400E+01  3.992025E-02
9.656300E+01  3.950287E-02
9.753300E+01  3.908548E-02
9.850200E+01  3.866810E-02
9.947200E+01  3.825071E-02
1.004400E+02  3.783333E-02
1.014100E+02  3.741595E-02
1.023800E+02  3.699856E-02
1.033500E+02  3.658012E-02
1.043200E+02  3.616274E-02
1.052900E+02  3.574536E-02
1.062600E+02  3.536486E-02
1.072300E+02  3.501072E-02
1.082000E+02  3.466184E-02
1.091700E+02  3.431719E-02
1.101400E+02  3.397464E-02
1.111100E+02  3.363103E-02
1.120800E+02  3.328743E-02
1.130500E+02  3.294277E-02
1.140100E+02  3.259811E-02
1.149800E+02  3.225556E-02
1.159500E+02  3.191196E-02
1.169200E+02  3.156835E-02
1.178900E+02  3.122370E-02
1.188600E+02  3.091487E-02
1.198300E+02  3.061132E-02
1.208000E+02  3.032463E-02
1.217700E+02  3.005059E-02
1.227400E+02  2.977655E-02
1.237100E+02  2.950462E-02
1.246800E+02  2.923164E-02
1.256500E+02  2.895865E-02
1.266200E+02  2.868461E-02
1.275900E+02  2.841162E-02
1.285600E+02  2.813758E-02
1.295300E+02  2.786354E-02
1.305000E+02  2.759056E-02
1.314700E+02  2.731757E-02
1.324400E+02  2.706461E-02
1.334100E+02  2.682219E-02
1.343800E+02  2.658293E-02
1.353400E+02  2.636897E-02
1.363100E+02  2.615501E-02
1.372800E+02  2.594210E-02
1.382500E+02  2.573025E-02
1.392200E+02  2.551734E-02
1.401900E+02  2.530443E-02
1.411600E+02  2.509152E-02
1.421300E+02  2.487862E-02
1.431000E+02  2.466465E-02
1.440700E+02  2.444964E-02
1.450400E+02  2.423673E-02
1.460100E+02  2.402382E-02
1.469800E+02  2.380986E-02
1.479500E+02  2.359801E-02
1.489200E+02  2.338510E-02
1.498900E+02  2.317219E-02
1.508600E+02  2.298879E-02
1.518300E+02  2.280856E-02
1.528000E+02  2.262833E-02
1.537700E+02  2.244915E-02
1.547400E+02  2.226997E-02
1.557000E+02  2.208973E-02
1.566700E+02  2.190950E-02
1.576400E+02  2.172926E-02
1.586100E+02  2.154903E-02
1.595800E+02  2.136985E-02
1.605500E+02  2.119067E-02
1.615200E+02  2.101149E-02
1.624900E+02  2.083126E-02
1.634600E+02  2.065102E-02
1.644300E+02  2.047184E-02
1.654000E+02  2.029161E-02
1.663700E+02  2.011137E-02
1.673400E+02  1.993114E-02
1.683100E+02  1.977831E-02
1.692800E+02  1.963180E-02
1.702500E+02  1.948530E-02
1.712200E+02  1.934195E-02
1.721900E+02  1.920177E-02
1.731600E+02  1.906159E-02
1.741300E+02  1.892035E-02
1.751000E+02  1.878017E-02
1.760700E+02  1.863999E-02
1.770300E+02  1.849981E-02
1.780000E+02  1.835857E-02
1.789700E+02  1.821839E-02
1.799400E+02  1.807715E-02
1.809100E+02  1.793697E-02
1.818800E+02  1.779574E-02
1.828500E+02  1.765555E-02
1.838200E+02  1.751432E-02
1.847900E+02  1.737519E-02
1.857600E+02  1.723501E-02
1.867300E+02  1.709483E-02
1.877000E+02  1.696308E-02
1.886700E+02  1.683554E-02
1.896400E+02  1.670906E-02
1.906100E+02  1.658258E-02
1.915800E+02  1.646032E-02
1.925500E+02  1.633805E-02
1.935200E+02  1.621579E-02
1.944900E+02  1.609353E-02
1.954600E+02  1.597126E-02
1.964300E+02  1.584900E-02
1.973900E+02  1.572673E-02
1.983600E+02  1.560447E-02
1.993300E+02  1.548221E-02
2.003000E+02  1.535994E-02
2.012700E+02  1.523768E-02
2.022400E+02  1.511541E-02
2.032100E+02  1.499315E-02
2.041800E+02  1.487194E-02
2.051500E+02  1.474968E-02
2.061200E+02  1.462741E-02
2.070900E+02  1.450515E-02
2.080600E+02  1.438288E-02
2.090300E+02  1.426273E-02
2.100000E+02  1.415522E-02
2.109700E+02  1.404877E-02
2.119400E+02  1.394231E-02
2.129100E+02  1.383797E-02
2.138800E+02  1.374838E-02
2.148500E+02  1.365984E-02
2.158200E+02  1.357130E-02
2.167900E+02  1.348277E-02
2.177600E+02  1.339423E-02
2.187200E+02  1.330570E-02
2.196900E+02  1.321716E-02
2.206600E+02  1.312862E-02
2.216300E+02  1.304009E-02
2.226000E+02  1.295050E-02
2.235700E+02  1.286196E-02
2.245400E+02  1.277343E-02
2.255100E+02  1.268489E-02
2.264800E+02  1.259635E-02
2.274500E+02  1.250676E-02
2.284200E+02  1.241823E-02
2.293900E+02  1.232969E-02
2.303600E+02  1.224116E-02
2.313300E+02  1.215262E-02
2.323000E+02  1.206303E-02
2.332700E+02  1.197449E-02
2.342400E+02  1.188912E-02
2.352100E+02  1.180269E-02
2.361800E+02  1.171732E-02
2.371500E+02  1.163194E-02
2.381200E+02  1.155395E-02
2.390900E+02  1.148438E-02
2.400500E+02  1.141482E-02
2.410200E+02  1.134631E-02
2.419900E+02  1.127675E-02
2.429600E+02  1.120718E-02
2.439300E+02  1.113867E-02
2.449000E+02  1.106911E-02
2.458700E+02  1.099954E-02
2.468400E+02  1.093103E-02
2.478100E+02  1.086147E-02
2.487800E+02  1.079296E-02
2.497500E+02  1.072340E-02
2.507200E+02  1.065489E-02
2.516900E+02  1.058532E-02
2.526600E+02  1.051639E-02
2.536300E+02  1.044725E-02
2.546000E+02  1.037811E-02
2.555700E+02  1.030896E-02
2.565400E+02  1.023982E-02
2.575100E+02  1.017068E-02
2.584800E+02  1.010164E-02
2.594500E+02  1.003250E-02
2.604100E+02  9.963357E-03
2.613800E+02  9.894109E-03
2.623500E+02  9.824861E-03
2.633200E+02  9.755613E-03
2.642900E+02  9.686365E-03
2.652600E+02  9.617118E-03
2.662300E+02  9.560202E-03
2.672000E+02  9.506342E-03
2.681700E+02  9.452588E-03
2.691400E+02  9.398729E-03
2.701100E+02  9.344975E-03
2.710800E+02  9.292380E-03
2.720500E+02  9.240313E-03
2.730200E+02  9.188350E-03
2.739900E+02  9.136283E-03
2.749600E+02  9.084215E-03
2.759300E+02  9.032253E-03
2.769000E+02  8.980291E-03
2.778700E+02  8.928223E-03
2.788400E+02  8.876261E-03
2.798100E+02  8.824299E-03
2.807800E+02  8.772337E-03
2.817400E+02  8.720374E-03
2.827100E+02  8.668412E-03
2.836800E+02  8.616555E-03
2.846500E+02  8.564593E-03
2.856200E+02  8.512736E-03
2.865900E+02  8.460669E-03
2.875600E+02  8.408707E-03
2.885300E+02  8.356744E-03
2.895000E+02  8.304677E-03
2.904700E+02  8.252715E-03
2.914400E+02  8.200752E-03
2.924100E+02  8.148790E-03
2.933800E+02  8.096723E-03
2.943500E+02  8.044760E-03
2.953200E+02  7.992798E-03
2.962900E+02  7.940836E-03
2.972600E+02  7.893406E-03
2.982300E+02  7.847135E-03
2.992000E+02  7.800759E-03
3.001700E+02  7.754489E-03
3.011400E+02  7.708218E-03
3.021000E+02  7.662369E-03
3.030700E+02  7.620736E-03
3.040400E+02  7.578998E-03
3.050100E+02  7.537365E-03
3.059800E+02  7.495732E-03
3.069500E+02  7.453993E-03
3.079200E+02  7.412360E-03
3.088900E+02  7.370727E-03
3.098600E+02  7.329094E-03
3.108300E+02  7.287461E-03
3.118000E+02  7.245828E-03
3.127700E+02  7.204195E-03
3.137400E+02  7.162562E-03
3.147100E+02  7.120929E-03
3.156800E+02  7.079191E-03
3.166500E+02  7.037558E-03
3.176200E+02  6.995820E-03
3.185900E+02  6.954187E-03
3.195600E+02  6.912554E-03
3.205300E+02  6.870921E-03
3.215000E+02  6.829393E-03
3.224700E+02  6.787760E-03
3.234300E+02  6.746232E-03
3.244000E+02  6.704599E-03
3.253700E+02  6.662966E-03
3.263400E+02  6.621333E-03
3.273100E+02  6.579700E-03
3.282800E+02  6.538067E-03
3.292500E+02  6.496434E-03
3.302200E+02  6.454696E-03
3.311900E+02  6.413379E-03
3.321600E+02  6.376173E-03
3.331300E+02  6.339072E-03
3.341000E+02  6.301971E-03
3.350700E+02  6.264765E-03
3.360400E+02  6.227664E-03
3.370100E+02  6.190458E-03
3.379800E+02  6.158733E-03
3.389500E+02  6.129221E-03
3.399200E+02  6.099603E-03
3.408900E+02  6.070091E-03
3.418600E+02  6.040474E-03
3.428300E+02  6.010962E-03
3.437900E+02  5.981345E-03
3.447600E+02  5.951833E-03
3.457300E+02  5.922215E-03
3.467000E+02  5.892703E-03
3.476700E+02  5.863086E-03
3.486400E+02  5.833574E-03
3.496100E+02  5.804062E-03
3.505800E+02  5.774444E-03
3.515500E+02  5.744827E-03
3.525200E+02  5.715210E-03
3.534900E+02  5.685592E-03
3.544600E+02  5.656080E-03
