# (E [MeV])  (Flux shape [1/MeV/cm^2/s]
13.183  0.0052473
14.153  0.0054982
15.122  0.0057508
16.092  0.0060127
17.061  0.0062707
18.031  0.0064684
19  0.0066667
19.97  0.0068776
20.939  0.0070854
21.909  0.0072028
22.878  0.00731
23.848  0.0074166
24.817  0.007509
25.787  0.0075979
26.757  0.0076894
27.726  0.0078904
28.696  0.0081325
29.665  0.0083723
30.635  0.0083719
31.604  0.0082402
32.574  0.0081103
33.543  0.0080617
34.513  0.008082
35.482  0.0081022
36.452  0.0081225
37.421  0.0081426
38.391  0.0081399
39.36  0.0081031
40.33  0.0080664
41.3  0.0080296
42.269  0.0079812
43.239  0.0079021
44.208  0.007823
45.178  0.007744
46.147  0.0076649
47.117  0.0075695
48.086  0.0073666
49.056  0.0071626
50.025  0.0069584
50.995  0.0067543
51.964  0.0065503
52.934  0.0063657
53.904  0.0062254
54.873  0.006111
55.843  0.0059965
56.812  0.005882
57.782  0.0057674
58.751  0.005653
59.721  0.0055391
60.69  0.0054664
61.66  0.0054069
62.629  0.0053494
63.599  0.0052919
64.568  0.0052343
65.538  0.0051768
66.508  0.0051193
67.477  0.0050644
68.447  0.0050108
69.416  0.0049577
70.386  0.0049047
71.355  0.0048516
72.325  0.0047985
73.294  0.0047454
74.264  0.0046923
75.233  0.0046431
76.203  0.0045962
77.172  0.0045511
78.142  0.0045061
79.111  0.004461
80.081  0.0044159
81.051  0.0043709
82.02  0.0043258
82.99  0.0042808
83.959  0.0042387
84.929  0.0041984
85.898  0.0041614
86.868  0.0041245
87.837  0.0040876
88.807  0.0040506
89.776  0.0040136
90.746  0.0039767
91.715  0.0039397
92.685  0.0039028
93.655  0.003865
94.624  0.0038271
95.594  0.0037875
96.563  0.0037479
97.533  0.0037083
98.502  0.0036687
99.472  0.0036291
100.44  0.0035895
101.41  0.0035499
102.38  0.0035103
103.35  0.0034706
104.32  0.003431
105.29  0.0033914
106.26  0.0033553
107.23  0.0033217
108.2  0.0032886
109.17  0.0032559
110.14  0.0032234
111.11  0.0031908
112.08  0.0031582
113.05  0.0031255
114.01  0.0030928
114.98  0.0030603
115.95  0.0030277
116.92  0.0029951
117.89  0.0029624
118.86  0.0029331
119.83  0.0029043
120.8  0.0028771
121.77  0.0028511
122.74  0.0028251
123.71  0.0027993
124.68  0.0027734
125.65  0.0027475
126.62  0.0027215
127.59  0.0026956
128.56  0.0026696
129.53  0.0026436
130.5  0.0026177
131.47  0.0025918
132.44  0.0025678
133.41  0.0025448
134.38  0.0025221
135.34  0.0025018
136.31  0.0024815
137.28  0.0024613
138.25  0.0024412
139.22  0.002421
140.19  0.0024008
141.16  0.0023806
142.13  0.0023604
143.1  0.0023401
144.07  0.0023197
145.04  0.0022995
146.01  0.0022793
146.98  0.002259
147.95  0.0022389
148.92  0.0022187
149.89  0.0021985
150.86  0.0021811
151.83  0.002164
152.8  0.0021469
153.77  0.0021299
154.74  0.0021129
155.7  0.0020958
156.67  0.0020787
157.64  0.0020616
158.61  0.0020445
159.58  0.0020275
160.55  0.0020105
161.52  0.0019935
162.49  0.0019764
163.46  0.0019593
164.43  0.0019423
165.4  0.0019252
166.37  0.0019081
167.34  0.001891
168.31  0.0018765
169.28  0.0018626
170.25  0.0018487
171.22  0.0018351
172.19  0.0018218
173.16  0.0018085
174.13  0.0017951
175.1  0.0017818
176.07  0.0017685
177.03  0.0017552
178  0.0017418
178.97  0.0017285
179.94  0.0017151
180.91  0.0017018
181.88  0.0016884
182.85  0.0016751
183.82  0.0016617
184.79  0.0016485
185.76  0.0016352
186.73  0.0016219
187.7  0.0016094
188.67  0.0015973
189.64  0.0015853
190.61  0.0015733
191.58  0.0015617
192.55  0.0015501
193.52  0.0015385
194.49  0.0015269
195.46  0.0015153
196.43  0.0015037
197.39  0.0014921
198.36  0.0014805
199.33  0.0014689
200.3  0.0014573
201.27  0.0014457
202.24  0.0014341
203.21  0.0014225
204.18  0.001411
205.15  0.0013994
206.12  0.0013878
207.09  0.0013762
208.06  0.0013646
209.03  0.0013532
210  0.001343
210.97  0.0013329
211.94  0.0013228
212.91  0.0013129
213.88  0.0013044
214.85  0.001296
215.82  0.0012876
216.79  0.0012792
217.76  0.0012708
218.72  0.0012624
219.69  0.001254
220.66  0.0012456
221.63  0.0012372
222.6  0.0012287
223.57  0.0012203
224.54  0.0012119
225.51  0.0012035
226.48  0.0011951
227.45  0.0011866
228.42  0.0011782
229.39  0.0011698
230.36  0.0011614
231.33  0.001153
232.3  0.0011445
233.27  0.0011361
234.24  0.001128
235.21  0.0011198
236.18  0.0011117
237.15  0.0011036
238.12  0.0010962
239.09  0.0010896
240.05  0.001083
241.02  0.0010765
241.99  0.0010699
242.96  0.0010633
243.93  0.0010568
244.9  0.0010502
245.87  0.0010436
246.84  0.0010371
247.81  0.0010305
248.78  0.001024
249.75  0.0010174
250.72  0.0010109
251.69  0.0010043
252.66  0.00099776
253.63  0.0009912
254.6  0.00098464
255.57  0.00097808
256.54  0.00097152
257.51  0.00096496
258.48  0.00095841
259.45  0.00095185
260.41  0.00094529
261.38  0.00093872
262.35  0.00093215
263.32  0.00092558
264.29  0.00091901
265.26  0.00091244
266.23  0.00090704
267.2  0.00090193
268.17  0.00089683
269.14  0.00089172
270.11  0.00088662
271.08  0.00088163
272.05  0.00087669
273.02  0.00087176
273.99  0.00086682
274.96  0.00086188
275.93  0.00085695
276.9  0.00085202
277.87  0.00084708
278.84  0.00084215
279.81  0.00083722
280.78  0.00083229
281.74  0.00082736
282.71  0.00082243
283.68  0.00081751
284.65  0.00081258
285.62  0.00080766
286.59  0.00080272
287.56  0.00079779
288.53  0.00079286
289.5  0.00078792
290.47  0.00078299
291.44  0.00077806
292.41  0.00077313
293.38  0.00076819
294.35  0.00076326
295.32  0.00075833
296.29  0.0007534
297.26  0.0007489
298.23  0.00074451
299.2  0.00074011
300.17  0.00073572
301.14  0.00073133
302.1  0.00072698
303.07  0.00072303
304.04  0.00071907
305.01  0.00071512
305.98  0.00071117
306.95  0.00070721
307.92  0.00070326
308.89  0.00069931
309.86  0.00069536
310.83  0.00069141
311.8  0.00068746
312.77  0.00068351
313.74  0.00067956
314.71  0.00067561
315.68  0.00067165
316.65  0.0006677
317.62  0.00066374
318.59  0.00065979
319.56  0.00065584
320.53  0.00065189
321.5  0.00064795
322.47  0.000644
323.43  0.00064006
324.4  0.00063611
325.37  0.00063216
326.34  0.00062821
327.31  0.00062426
328.28  0.00062031
329.25  0.00061636
330.22  0.0006124
331.19  0.00060848
332.16  0.00060495
333.13  0.00060143
334.1  0.00059791
335.07  0.00059438
336.04  0.00059086
337.01  0.00058733
337.98  0.00058432
338.95  0.00058152
339.92  0.00057871
340.89  0.00057591
341.86  0.0005731
342.83  0.0005703
343.79  0.00056749
344.76  0.00056469
345.73  0.00056188
346.7  0.00055908
347.67  0.00055627
348.64  0.00055347
349.61  0.00055067
350.58  0.00054786
351.55  0.00054505
352.52  0.00054224
353.49  0.00053943
354.46  0.00053663
355.43  0.00053382
356.4  0.00053101
357.37  0.0005282
358.34  0.0005254
359.31  0.0005226
360.28  0.00051979
361.25  0.00051699
362.22  0.00051419
363.19  0.00051138
364.16  0.00050858
365.12  0.00050577
366.09  0.00050297
367.06  0.00050016
368.03  0.00049736
369  0.00049455
369.97  0.00049176
370.94  0.00048903
371.91  0.00048629
372.88  0.00048356
373.85  0.00048083
374.82  0.0004781
375.79  0.00047537
376.76  0.00047267
377.73  0.00047062
378.7  0.00046856
379.67  0.0004665
380.64  0.00046445
381.61  0.00046239
382.58  0.00046033
383.55  0.00045828
384.52  0.00045622
385.49  0.00045416
386.45  0.00045209
387.42  0.00045003
388.39  0.00044797
389.36  0.00044591
390.33  0.00044385
391.3  0.00044179
392.27  0.00043973
393.24  0.00043767
394.21  0.00043561
395.18  0.00043355
396.15  0.00043149
397.12  0.00042943
398.09  0.00042736
399.06  0.0004253
400.03  0.00042324
401  0.00042118
401.97  0.00041912
402.94  0.00041706
403.91  0.000415
404.88  0.00041294
405.85  0.00041088
406.81  0.00040882
407.78  0.00040676
408.75  0.0004047
409.72  0.00040264
410.69  0.00040058
411.66  0.00039852
412.63  0.00039646
413.6  0.0003944
414.57  0.00039234
415.54  0.00039027
416.51  0.00038821
417.48  0.00038615
418.45  0.00038409
419.42  0.00038203
420.39  0.00037997
421.36  0.00037819
422.33  0.00037658
423.3  0.00037497
424.27  0.00037335
425.24  0.00037174
426.21  0.00037012
427.18  0.00036851
428.14  0.00036689
429.11  0.00036533
430.08  0.00036381
431.05  0.00036228
432.02  0.00036076
432.99  0.00035923
433.96  0.0003577
434.93  0.00035618
435.9  0.00035465
436.87  0.00035313
437.84  0.0003516
438.81  0.00035007
439.78  0.00034854
440.75  0.00034702
441.72  0.00034549
442.69  0.00034396
443.66  0.00034243
444.63  0.00034091
445.6  0.00033938
446.57  0.00033785
447.54  0.00033633
448.5  0.0003348
449.47  0.00033328
450.44  0.00033175
451.41  0.00033023
452.38  0.0003287
453.35  0.00032718
454.32  0.00032565
455.29  0.00032412
456.26  0.00032259
457.23  0.00032106
458.2  0.00031954
459.17  0.00031801
460.14  0.00031648
461.11  0.00031495
462.08  0.00031343
463.05  0.0003119
464.02  0.00031037
464.99  0.00030884
465.96  0.00030732
466.93  0.00030579
467.9  0.00030426
468.87  0.00030273
469.83  0.00030121
470.8  0.00029996
471.77  0.00029874
472.74  0.00029751
473.71  0.00029629
474.68  0.00029506
475.65  0.00029384
476.62  0.00029261
477.59  0.00029138
478.56  0.00029016
479.53  0.00028908
480.5  0.00028802
481.47  0.00028696
482.44  0.0002859
483.41  0.00028484
484.38  0.00028378
485.35  0.00028272
486.32  0.00028166
487.29  0.0002806
488.26  0.00027954
489.23  0.00027848
490.19  0.00027741
491.16  0.00027635
492.13  0.00027529
493.1  0.00027423
494.07  0.00027317
495.04  0.00027211
496.01  0.00027105
496.98  0.00026999
497.95  0.00026893
498.92  0.00026787
499.89  0.00026681
500.86  0.00026575
501.83  0.00026469
502.8  0.00026363
503.77  0.00026257
504.74  0.00026151
505.71  0.00026045
506.68  0.00025939
507.65  0.00025833
508.62  0.00025727
509.59  0.00025621
510.56  0.00025515
511.52  0.00025409
512.49  0.00025303
513.46  0.00025197
514.43  0.00025091
515.4  0.00024985
516.37  0.00024879
517.34  0.00024773
518.31  0.00024667
519.28  0.00024561
520.25  0.00024455
521.22  0.00024349
522.19  0.00024243
523.16  0.00024137
524.13  0.00024031
525.1  0.00023927
526.07  0.00023831
527.04  0.00023735
528.01  0.00023639
528.98  0.00023543
529.95  0.00023447
530.92  0.0002335
531.89  0.00023254
532.85  0.00023158
533.82  0.00023062
534.79  0.0002297
535.76  0.00022891
536.73  0.00022812
537.7  0.00022733
538.67  0.00022654
539.64  0.00022575
540.61  0.00022497
541.58  0.00022418
542.55  0.00022339
543.52  0.0002226
544.49  0.00022181
545.46  0.00022102
546.43  0.00022023
547.4  0.00021944
548.37  0.00021865
549.34  0.00021787
550.31  0.00021708
551.28  0.00021629
552.25  0.0002155
553.21  0.00021471
554.18  0.00021392
555.15  0.00021313
556.12  0.00021234
557.09  0.00021156
558.06  0.00021077
559.03  0.00020998
560  0.00020919
560.97  0.0002084
561.94  0.00020761
562.91  0.00020682
563.88  0.00020603
564.85  0.00020524
565.82  0.00020445
566.79  0.00020366
567.76  0.00020287
568.73  0.00020208
569.7  0.00020129
570.67  0.0002005
571.64  0.00019971
572.61  0.00019892
573.58  0.00019813
574.54  0.00019734
575.51  0.00019655
576.48  0.00019576
577.45  0.00019497
578.42  0.00019418
579.39  0.0001934
580.36  0.00019261
581.33  0.00019182
582.3  0.00019103
583.27  0.00019024
584.24  0.00018945
585.21  0.00018867
586.18  0.00018788
587.15  0.00018711
588.12  0.00018635
589.09  0.00018558
590.06  0.00018482
591.03  0.00018405
592  0.00018328
592.97  0.00018252
593.94  0.00018175
594.9  0.00018099
595.87  0.00018022
596.84  0.00017945
597.81  0.00017887
598.78  0.00017832
599.75  0.00017778
600.72  0.00017723
601.69  0.00017669
602.66  0.00017615
603.63  0.0001756
604.6  0.00017506
605.57  0.00017451
606.54  0.00017397
607.51  0.00017342
608.48  0.00017288
609.45  0.00017234
610.42  0.00017179
611.39  0.00017125
612.36  0.0001707
613.33  0.00017016
614.3  0.00016962
615.27  0.00016907
616.23  0.00016853
617.2  0.00016798
618.17  0.00016744
619.14  0.0001669
620.11  0.00016635
621.08  0.00016581
622.05  0.00016527
623.02  0.00016472
623.99  0.00016418
624.96  0.00016363
625.93  0.00016309
626.9  0.00016255
627.87  0.000162
628.84  0.00016146
629.81  0.00016092
630.78  0.00016037
631.75  0.00015983
632.72  0.00015928
633.69  0.00015874
634.66  0.0001582
635.63  0.00015765
636.59  0.00015711
637.56  0.00015657
638.53  0.00015602
639.5  0.00015548
640.47  0.00015493
641.44  0.00015439
642.41  0.00015385
643.38  0.0001533
644.35  0.00015276
645.32  0.00015221
646.29  0.00015167
647.26  0.00015112
648.23  0.00015058
649.2  0.00015004
650.17  0.00014949
651.14  0.00014895
652.11  0.0001484
653.08  0.00014786
654.05  0.00014731
655.02  0.00014677
655.99  0.00014623
656.96  0.00014568
657.92  0.00014514
658.89  0.0001446
659.86  0.00014405
660.83  0.00014351
661.8  0.00014297
662.77  0.00014242
663.74  0.00014188
664.71  0.00014134
