# (E [MeV])  (Flux [1/MeV/cm^2/s]
1.878400E-02  1.177289E-02
3.754900E-02  4.696629E-02
5.631400E-02  1.054318E-01
7.507900E-02  1.870193E-01
9.384400E-02  2.916131E-01
1.126100E-01  4.190777E-01
1.313700E-01  5.692134E-01
1.501400E-01  7.420123E-01
1.689000E-01  9.372510E-01
1.876700E-01  1.154706E+00
2.064300E-01  1.394505E+00
2.252000E-01  1.656329E+00
2.439600E-01  1.939938E+00
2.627300E-01  2.245492E+00
2.814900E-01  2.572433E+00
3.002600E-01  2.921079E+00
3.190200E-01  3.291191E+00
3.377900E-01  3.682371E+00
3.565500E-01  4.094777E+00
3.753200E-01  4.528171E+00
3.940800E-01  4.982313E+00
4.128500E-01  5.457283E+00
4.316100E-01  5.952601E+00
4.503800E-01  6.468588E+00
4.691400E-01  7.005004E+00
4.879100E-01  7.561369E+00
5.066700E-01  8.138004E+00
5.254400E-01  8.734908E+00
5.442000E-01  9.350166E+00
5.629700E-01  9.986970E+00
5.817300E-01  1.064213E+01
6.005000E-01  1.131724E+01
6.192600E-01  1.201070E+01
6.380300E-01  1.272411E+01
6.567900E-01  1.345667E+01
6.755600E-01  1.420759E+01
6.943200E-01  1.497766E+01
7.130900E-01  1.576688E+01
7.318500E-01  1.657366E+01
7.506200E-01  1.739959E+01
7.693800E-01  1.824388E+01
7.881500E-01  1.910572E+01
8.069100E-01  1.998511E+01
8.256800E-01  2.088366E+01
8.444400E-01  2.179817E+01
8.632100E-01  2.273183E+01
8.819700E-01  2.368225E+01
9.007400E-01  2.465102E+01
9.195000E-01  2.563655E+01
9.382700E-01  2.663804E+01
9.570300E-01  2.765788E+01
9.758000E-01  2.869448E+01
9.945600E-01  2.974705E+01
1.013300E+00  3.081876E+01
1.032100E+00  3.190404E+01
1.050900E+00  3.300608E+01
1.069600E+00  3.412408E+01
1.088400E+00  3.525803E+01
1.107200E+00  3.641354E+01
1.125900E+00  3.758021E+01
1.144700E+00  3.876205E+01
1.163400E+00  3.995985E+01
1.182200E+00  4.117281E+01
