# (E [MeV])  (Flux [1/MeV/cm^2/s]
5.040000E-03  2.093000E+08
5.453700E-03  2.598609E+08
5.867500E-03  3.104278E+08
6.281200E-03  3.609887E+08
6.695000E-03  4.115556E+08
7.108700E-03  4.621165E+08
7.522500E-03  5.126833E+08
7.936200E-03  5.632442E+08
8.349900E-03  6.137872E+08
8.763700E-03  6.643780E+08
9.177400E-03  7.149090E+08
9.591200E-03  7.654998E+08
1.000500E-02  8.160906E+08
1.041900E-02  8.931728E+08
1.083200E-02  9.761154E+08
1.124600E-02  1.059058E+09
1.166000E-02  1.142060E+09
1.207400E-02  1.225003E+09
1.248700E-02  1.307946E+09
1.290100E-02  1.390948E+09
1.331500E-02  1.473891E+09
1.372900E-02  1.556833E+09
1.414200E-02  1.639836E+09
1.455600E-02  1.722778E+09
1.497000E-02  1.805781E+09
1.538400E-02  1.908098E+09
1.579700E-02  2.021479E+09
1.621100E-02  2.134920E+09
1.662500E-02  2.248301E+09
1.703900E-02  2.361681E+09
1.745200E-02  2.475122E+09
1.786600E-02  2.588503E+09
1.828000E-02  2.701884E+09
1.869400E-02  2.815324E+09
1.910700E-02  2.928705E+09
1.952100E-02  3.042086E+09
1.993500E-02  3.155526E+09
2.034900E-02  3.282542E+09
2.076200E-02  3.425882E+09
2.117600E-02  3.569223E+09
2.159000E-02  3.712563E+09
2.200300E-02  3.855964E+09
2.241700E-02  3.999304E+09
2.283100E-02  4.142645E+09
2.324500E-02  4.285986E+09
2.365800E-02  4.429326E+09
2.407200E-02  4.572667E+09
2.448600E-02  4.716007E+09
2.490000E-02  4.859348E+09
2.531300E-02  5.010403E+09
2.572700E-02  5.181730E+09
2.614100E-02  5.353057E+09
2.655500E-02  5.524384E+09
2.696800E-02  5.695711E+09
2.738200E-02  5.867038E+09
2.779600E-02  6.038604E+09
2.821000E-02  6.209632E+09
2.862300E-02  6.381258E+09
2.903700E-02  6.552286E+09
2.945100E-02  6.723912E+09
2.986500E-02  6.894940E+09
3.027800E-02  7.068958E+09
3.069200E-02  7.266896E+09
3.110600E-02  7.464236E+09
3.152000E-02  7.662174E+09
3.193300E-02  7.860112E+09
3.234700E-02  8.058050E+09
3.276100E-02  8.255988E+09
3.317500E-02  8.453328E+09
3.358800E-02  8.651266E+09
3.400200E-02  8.849204E+09
3.441600E-02  9.047142E+09
3.483000E-02  9.245080E+09
3.524300E-02  9.443018E+09
3.565700E-02  9.664278E+09
3.607100E-02  9.887930E+09
3.648500E-02  1.011218E+10
3.689800E-02  1.033583E+10
3.731200E-02  1.055948E+10
3.772600E-02  1.078373E+10
3.813900E-02  1.100739E+10
3.855300E-02  1.123164E+10
3.896700E-02  1.145529E+10
3.938100E-02  1.167894E+10
3.979400E-02  1.190319E+10
4.020800E-02  1.212684E+10
4.062200E-02  1.236784E+10
4.103600E-02  1.261541E+10
4.144900E-02  1.286238E+10
4.186300E-02  1.310995E+10
4.227700E-02  1.335753E+10
4.269100E-02  1.360510E+10
4.310400E-02  1.385207E+10
4.351800E-02  1.409964E+10
4.393200E-02  1.434722E+10
4.434600E-02  1.459479E+10
4.475900E-02  1.484176E+10
4.517300E-02  1.508933E+10
4.558700E-02  1.534887E+10
4.600100E-02  1.561916E+10
4.641400E-02  1.589006E+10
4.682800E-02  1.616035E+10
4.724200E-02  1.643065E+10
4.765600E-02  1.670154E+10
4.806900E-02  1.697184E+10
4.848300E-02  1.724213E+10
4.889700E-02  1.751303E+10
4.931100E-02  1.778332E+10
4.972400E-02  1.805362E+10
5.013800E-02  1.832451E+10
5.055200E-02  1.860258E+10
5.096600E-02  1.889560E+10
5.137900E-02  1.918862E+10
5.179300E-02  1.948164E+10
5.220700E-02  1.977466E+10
5.262100E-02  2.006768E+10
5.303400E-02  2.036130E+10
5.344800E-02  2.065432E+10
5.386200E-02  2.094734E+10
5.427600E-02  2.124036E+10
5.468900E-02  2.153338E+10
5.510300E-02  2.182640E+10
5.551700E-02  2.212241E+10
5.593000E-02  2.243576E+10
5.634400E-02  2.274912E+10
5.675800E-02  2.306247E+10
5.717200E-02  2.337522E+10
5.758500E-02  2.368857E+10
5.799900E-02  2.400193E+10
5.841300E-02  2.431528E+10
5.882700E-02  2.462803E+10
5.924000E-02  2.494138E+10
5.965400E-02  2.525474E+10
6.006800E-02  2.556809E+10
6.048200E-02  2.588084E+10
6.089500E-02  2.621333E+10
6.130900E-02  2.654522E+10
6.172300E-02  2.687771E+10
6.213700E-02  2.721020E+10
6.255000E-02  2.754268E+10
6.296400E-02  2.787457E+10
6.337800E-02  2.820706E+10
6.379200E-02  2.853955E+10
6.420500E-02  2.887204E+10
6.461900E-02  2.920393E+10
6.503300E-02  2.953642E+10
6.544700E-02  2.986890E+10
6.586000E-02  3.021634E+10
6.627400E-02  3.056737E+10
6.668800E-02  3.091839E+10
6.710200E-02  3.126882E+10
6.751500E-02  3.161985E+10
6.792900E-02  3.197087E+10
6.834300E-02  3.232190E+10
6.875700E-02  3.267293E+10
6.917000E-02  3.302395E+10
6.958400E-02  3.337498E+10
6.999800E-02  3.372600E+10
7.041200E-02  3.407703E+10
7.082500E-02  3.443822E+10
7.123900E-02  3.480539E+10
7.165300E-02  3.517257E+10
7.206600E-02  3.553974E+10
7.248000E-02  3.590691E+10
7.289400E-02  3.627408E+10
7.330800E-02  3.664125E+10
7.372100E-02  3.700843E+10
7.413500E-02  3.737560E+10
7.454900E-02  3.774277E+10
7.496300E-02  3.810994E+10
7.537600E-02  3.847711E+10
7.579000E-02  3.885146E+10
7.620400E-02  3.923478E+10
7.661800E-02  3.961810E+10
7.703100E-02  4.000201E+10
7.744500E-02  4.038533E+10
7.785900E-02  4.076865E+10
7.827300E-02  4.115197E+10
7.868600E-02  4.153529E+10
7.910000E-02  4.191860E+10
7.951400E-02  4.230192E+10
7.992800E-02  4.268584E+10
8.034100E-02  4.306916E+10
8.075500E-02  4.345606E+10
8.116900E-02  4.385433E+10
8.158300E-02  4.425260E+10
8.199600E-02  4.465027E+10
8.241000E-02  4.504854E+10
8.282400E-02  4.544680E+10
8.323800E-02  4.584507E+10
8.365100E-02  4.624274E+10
8.406500E-02  4.664101E+10
8.447900E-02  4.703928E+10
8.489300E-02  4.743755E+10
8.530600E-02  4.783581E+10
8.572000E-02  4.823468E+10
8.613400E-02  4.864610E+10
8.654800E-02  4.905753E+10
8.696100E-02  4.946895E+10
8.737500E-02  4.988038E+10
8.778900E-02  5.029180E+10
8.820200E-02  5.070322E+10
8.861600E-02  5.111405E+10
8.903000E-02  5.152547E+10
8.944400E-02  5.193690E+10
8.985700E-02  5.234832E+10
9.027100E-02  5.275975E+10
9.068500E-02  5.317117E+10
9.109900E-02  5.359336E+10
9.151200E-02  5.401614E+10
9.192600E-02  5.443953E+10
9.234000E-02  5.486231E+10
9.275400E-02  5.528570E+10
9.316700E-02  5.570908E+10
9.358100E-02  5.613187E+10
9.399500E-02  5.655525E+10
9.440900E-02  5.697864E+10
9.482200E-02  5.740142E+10
9.523600E-02  5.782481E+10
9.565000E-02  5.824819E+10
9.606400E-02  5.867935E+10
9.647700E-02  5.911469E+10
9.689100E-02  5.954944E+10
9.730500E-02  5.998538E+10
9.771900E-02  6.042192E+10
9.813200E-02  6.085248E+10
9.854600E-02  6.128902E+10
9.896000E-02  6.172556E+10
9.937400E-02  6.215612E+10
9.978700E-02  6.259266E+10
1.002000E-01  6.302920E+10
1.006100E-01  6.346574E+10
1.010300E-01  6.390228E+10
1.014400E-01  6.435078E+10
1.018600E-01  6.479330E+10
1.022700E-01  6.523582E+10
1.026800E-01  6.568432E+10
1.031000E-01  6.612684E+10
1.035100E-01  6.657534E+10
1.039200E-01  6.701786E+10
1.043400E-01  6.746038E+10
1.047500E-01  6.790888E+10
1.051700E-01  6.835140E+10
1.055800E-01  6.879392E+10
1.059900E-01  6.924242E+10
1.064100E-01  6.969690E+10
1.068200E-01  7.015138E+10
1.072300E-01  7.060586E+10
1.076500E-01  7.106034E+10
1.080600E-01  7.151482E+10
1.084800E-01  7.196332E+10
1.088900E-01  7.241780E+10
1.093000E-01  7.287228E+10
1.097200E-01  7.332676E+10
1.101300E-01  7.378124E+10
1.105400E-01  7.423572E+10
1.109600E-01  7.469020E+10
1.113700E-01  7.515066E+10
1.117900E-01  7.561112E+10
1.122000E-01  7.607158E+10
1.126100E-01  7.653204E+10
1.130300E-01  7.699848E+10
1.134400E-01  7.745894E+10
1.138500E-01  7.791940E+10
1.142700E-01  7.837986E+10
1.146800E-01  7.884032E+10
1.151000E-01  7.930078E+10
1.155100E-01  7.976722E+10
1.159200E-01  8.022768E+10
1.163400E-01  8.069412E+10
1.167500E-01  8.116056E+10
1.171600E-01  8.162700E+10
1.175800E-01  8.209942E+10
1.179900E-01  8.256586E+10
1.184100E-01  8.303230E+10
1.188200E-01  8.349874E+10
1.192300E-01  8.397116E+10
1.196500E-01  8.443760E+10
1.200600E-01  8.490404E+10
1.204700E-01  8.537048E+10
1.208900E-01  8.584290E+10
1.213000E-01  8.631532E+10
1.217200E-01  8.678774E+10
1.221300E-01  8.726016E+10
1.225400E-01  8.773258E+10
1.229600E-01  8.820500E+10
1.233700E-01  8.868340E+10
1.237800E-01  8.915582E+10
1.242000E-01  8.962824E+10
1.246100E-01  9.010066E+10
1.250300E-01  9.057906E+10
1.254400E-01  9.105148E+10
1.258500E-01  9.152390E+10
1.262700E-01  9.200230E+10
1.266800E-01  9.247472E+10
1.270900E-01  9.295312E+10
1.275100E-01  9.343152E+10
1.279200E-01  9.390992E+10
1.283400E-01  9.438832E+10
1.287500E-01  9.486672E+10
1.291600E-01  9.534512E+10
1.295800E-01  9.582352E+10
1.299900E-01  9.630192E+10
1.304000E-01  9.677434E+10
1.308200E-01  9.725274E+10
1.312300E-01  9.773114E+10
1.316500E-01  9.821552E+10
1.320600E-01  9.869990E+10
1.324700E-01  9.917830E+10
1.328900E-01  9.966268E+10
1.333000E-01  1.001411E+11
1.337100E-01  1.006255E+11
1.341300E-01  1.011039E+11
1.345400E-01  1.015882E+11
1.349600E-01  1.020666E+11
1.353700E-01  1.025510E+11
1.357800E-01  1.030294E+11
1.362000E-01  1.035138E+11
1.366100E-01  1.039982E+11
1.370200E-01  1.044826E+11
1.374400E-01  1.049669E+11
1.378500E-01  1.054513E+11
1.382700E-01  1.059357E+11
1.386800E-01  1.064201E+11
1.390900E-01  1.069045E+11
1.395100E-01  1.073888E+11
1.399200E-01  1.078732E+11
1.403300E-01  1.083576E+11
1.407500E-01  1.088420E+11
1.411600E-01  1.093264E+11
1.415800E-01  1.098107E+11
1.419900E-01  1.103011E+11
1.424000E-01  1.107855E+11
1.428200E-01  1.112699E+11
1.432300E-01  1.117542E+11
1.436400E-01  1.122386E+11
1.440600E-01  1.127290E+11
1.444700E-01  1.132134E+11
1.448900E-01  1.136977E+11
1.453000E-01  1.141821E+11
1.457100E-01  1.146665E+11
1.461300E-01  1.151569E+11
1.465400E-01  1.156412E+11
1.469500E-01  1.161256E+11
1.473700E-01  1.166160E+11
1.477800E-01  1.171004E+11
1.482000E-01  1.175847E+11
1.486100E-01  1.180751E+11
1.490200E-01  1.185595E+11
1.494400E-01  1.190439E+11
1.498500E-01  1.195342E+11
1.502600E-01  1.200186E+11
1.506800E-01  1.205030E+11
1.510900E-01  1.209933E+11
1.515100E-01  1.214777E+11
1.519200E-01  1.219621E+11
1.523300E-01  1.224465E+11
1.527500E-01  1.229368E+11
1.531600E-01  1.234212E+11
1.535700E-01  1.239056E+11
1.539900E-01  1.243900E+11
1.544000E-01  1.248744E+11
1.548200E-01  1.253587E+11
1.552300E-01  1.258491E+11
1.556400E-01  1.263335E+11
1.560600E-01  1.268179E+11
1.564700E-01  1.273022E+11
1.568800E-01  1.277866E+11
1.573000E-01  1.282710E+11
1.577100E-01  1.287554E+11
1.581300E-01  1.292398E+11
1.585400E-01  1.297241E+11
1.589500E-01  1.302085E+11
1.593700E-01  1.306929E+11
1.597800E-01  1.311773E+11
1.601900E-01  1.316617E+11
1.606100E-01  1.321460E+11
1.610200E-01  1.326244E+11
1.614400E-01  1.331088E+11
1.618500E-01  1.335932E+11
1.622600E-01  1.340716E+11
1.626800E-01  1.345560E+11
1.630900E-01  1.350344E+11
1.635000E-01  1.355188E+11
1.639200E-01  1.359972E+11
1.643300E-01  1.364815E+11
1.647500E-01  1.369659E+11
1.651600E-01  1.374443E+11
1.655700E-01  1.379287E+11
1.659900E-01  1.384071E+11
1.664000E-01  1.388915E+11
1.668100E-01  1.393639E+11
1.672300E-01  1.398423E+11
1.676400E-01  1.403207E+11
1.680600E-01  1.407991E+11
1.684700E-01  1.412775E+11
1.688800E-01  1.417559E+11
1.693000E-01  1.422343E+11
1.697100E-01  1.427127E+11
1.701200E-01  1.431851E+11
1.705400E-01  1.436635E+11
1.709500E-01  1.441419E+11
1.713600E-01  1.446203E+11
1.717800E-01  1.450927E+11
1.721900E-01  1.455652E+11
1.726100E-01  1.460436E+11
1.730200E-01  1.465160E+11
1.734300E-01  1.469884E+11
1.738500E-01  1.474608E+11
1.742600E-01  1.479332E+11
1.746700E-01  1.484057E+11
1.750900E-01  1.488781E+11
1.755000E-01  1.493505E+11
1.759200E-01  1.498289E+11
1.763300E-01  1.503013E+11
1.767400E-01  1.507678E+11
1.771600E-01  1.512402E+11
1.775700E-01  1.517066E+11
1.779800E-01  1.521731E+11
1.784000E-01  1.526455E+11
1.788100E-01  1.531119E+11
1.792300E-01  1.535784E+11
1.796400E-01  1.540448E+11
1.800500E-01  1.545172E+11
1.804700E-01  1.549837E+11
1.808800E-01  1.554501E+11
1.812900E-01  1.559225E+11
1.817100E-01  1.563830E+11
1.821200E-01  1.568434E+11
1.825400E-01  1.573039E+11
1.829500E-01  1.577703E+11
1.833600E-01  1.582308E+11
1.837800E-01  1.586913E+11
1.841900E-01  1.591517E+11
1.846000E-01  1.596122E+11
1.850200E-01  1.600726E+11
1.854300E-01  1.605331E+11
1.858500E-01  1.609936E+11
1.862600E-01  1.614540E+11
1.866700E-01  1.619145E+11
1.870900E-01  1.623690E+11
1.875000E-01  1.628234E+11
1.879100E-01  1.632779E+11
1.883300E-01  1.637324E+11
1.887400E-01  1.641869E+11
1.891600E-01  1.646354E+11
1.895700E-01  1.650899E+11
1.899800E-01  1.655443E+11
1.904000E-01  1.659988E+11
1.908100E-01  1.664533E+11
1.912200E-01  1.669078E+11
1.916400E-01  1.673623E+11
1.920500E-01  1.678048E+11
1.924700E-01  1.682533E+11
1.928800E-01  1.686958E+11
1.932900E-01  1.691443E+11
1.937100E-01  1.695868E+11
1.941200E-01  1.700353E+11
1.945300E-01  1.704838E+11
1.949500E-01  1.709263E+11
1.953600E-01  1.713748E+11
1.957800E-01  1.718174E+11
1.961900E-01  1.722659E+11
1.966000E-01  1.727084E+11
1.970200E-01  1.731449E+11
1.974300E-01  1.735815E+11
1.978400E-01  1.740180E+11
1.982600E-01  1.744545E+11
1.986700E-01  1.748911E+11
1.990900E-01  1.753276E+11
1.995000E-01  1.757642E+11
1.999100E-01  1.762007E+11
2.003300E-01  1.766372E+11
2.007400E-01  1.770738E+11
2.011500E-01  1.775103E+11
2.015700E-01  1.779469E+11
2.019800E-01  1.783714E+11
2.024000E-01  1.788020E+11
2.028100E-01  1.792266E+11
2.032200E-01  1.796512E+11
2.036400E-01  1.800757E+11
2.040500E-01  1.805063E+11
2.044600E-01  1.809309E+11
2.048800E-01  1.813555E+11
2.052900E-01  1.817800E+11
2.057100E-01  1.822106E+11
2.061200E-01  1.826352E+11
2.065300E-01  1.830598E+11
2.069500E-01  1.834784E+11
2.073600E-01  1.838910E+11
2.077700E-01  1.843036E+11
2.081900E-01  1.847222E+11
2.086000E-01  1.851348E+11
2.090200E-01  1.855474E+11
2.094300E-01  1.859601E+11
2.098400E-01  1.863787E+11
2.102600E-01  1.867913E+11
2.106700E-01  1.872039E+11
2.110800E-01  1.876165E+11
2.115000E-01  1.880351E+11
