# (E [MeV])  (Flux [1/MeV/cm^2/s]
1.000000E-01  2.019804E-03
1.023293E-01  2.160121E-03
1.047129E-01  2.310055E-03
1.071519E-01  2.470251E-03
1.096478E-01  2.641400E-03
1.122018E-01  2.824233E-03
1.148154E-01  3.019533E-03
1.174898E-01  3.228131E-03
1.202264E-01  3.450913E-03
1.230269E-01  3.688823E-03
1.258925E-01  3.942862E-03
1.288250E-01  4.214100E-03
1.318257E-01  4.503671E-03
1.348963E-01  4.812785E-03
1.380384E-01  5.142727E-03
1.412538E-01  5.494862E-03
1.445440E-01  5.870644E-03
1.479108E-01  6.271616E-03
1.513561E-01  6.699418E-03
1.548817E-01  7.155794E-03
1.584893E-01  7.642594E-03
1.621810E-01  8.161784E-03
1.659587E-01  8.715450E-03
1.698244E-01  9.305807E-03
1.737801E-01  9.935205E-03
1.778279E-01  1.060614E-02
1.819701E-01  1.132124E-02
1.862087E-01  1.208333E-02
1.905461E-01  1.289537E-02
1.949845E-01  1.376051E-02
1.995262E-01  1.468208E-02
2.041738E-01  1.566362E-02
2.089296E-01  1.670886E-02
2.137962E-01  1.782175E-02
2.187762E-01  1.900650E-02
2.238721E-01  2.026751E-02
2.290868E-01  2.160948E-02
2.344229E-01  2.303734E-02
2.398833E-01  2.455633E-02
2.454709E-01  2.617196E-02
2.511886E-01  2.789005E-02
2.570396E-01  2.971676E-02
2.630268E-01  3.165857E-02
2.691535E-01  3.372232E-02
2.754229E-01  3.591520E-02
2.818383E-01  3.824481E-02
2.884032E-01  4.071914E-02
2.951209E-01  4.334659E-02
3.019952E-01  4.613602E-02
3.090295E-01  4.909673E-02
3.162278E-01  5.223848E-02
3.235937E-01  5.557155E-02
3.311311E-01  5.910671E-02
3.388442E-01  6.285525E-02
3.467369E-01  6.682903E-02
3.548134E-01  7.104048E-02
3.630781E-01  7.550258E-02
3.715352E-01  8.022896E-02
3.801894E-01  8.523383E-02
3.890451E-01  9.053208E-02
3.981072E-01  9.613924E-02
4.073803E-01  1.020715E-01
4.168694E-01  1.083458E-01
4.265795E-01  1.149797E-01
4.365158E-01  1.219916E-01
4.466836E-01  1.294006E-01
4.570882E-01  1.372264E-01
4.677351E-01  1.454896E-01
4.786301E-01  1.542117E-01
4.897788E-01  1.634146E-01
5.011872E-01  1.731215E-01
5.128614E-01  1.833559E-01
5.248075E-01  1.941423E-01
5.370318E-01  2.055060E-01
5.495409E-01  2.174731E-01
5.623413E-01  2.300704E-01
5.754399E-01  2.433253E-01
5.888437E-01  2.572662E-01
6.025596E-01  2.719222E-01
6.165950E-01  2.873229E-01
6.309573E-01  3.034987E-01
6.456542E-01  3.204804E-01
6.606934E-01  3.382998E-01
6.760830E-01  3.569888E-01
6.918310E-01  3.765800E-01
7.079458E-01  3.971064E-01
7.244360E-01  4.186012E-01
7.413102E-01  4.410980E-01
7.585776E-01  4.646305E-01
7.762471E-01  4.892326E-01
7.943282E-01  5.149381E-01
8.128305E-01  5.417807E-01
8.317638E-01  5.697938E-01
8.511380E-01  5.990106E-01
8.709636E-01  6.294637E-01
8.912509E-01  6.611851E-01
9.120108E-01  6.942059E-01
9.332543E-01  7.285565E-01
9.549926E-01  7.642660E-01
9.772372E-01  8.013622E-01
1.000000E+00  8.398715E-01
1.023293E+00  8.798188E-01
1.047129E+00  9.212267E-01
1.071519E+00  9.641161E-01
