# (E [MeV])  (Flux [1/MeV/cm^2/s]
1.000000E-01  1.644402E-03
1.023293E-01  1.761752E-03
1.047129E-01  1.887453E-03
1.071519E-01  2.022098E-03
1.096478E-01  2.166319E-03
1.122018E-01  2.320796E-03
1.148154E-01  2.486254E-03
1.174898E-01  2.663471E-03
1.202264E-01  2.853279E-03
1.230269E-01  3.056568E-03
1.258925E-01  3.274291E-03
1.288250E-01  3.507467E-03
1.318257E-01  3.757189E-03
1.348963E-01  4.024623E-03
1.380384E-01  4.311020E-03
1.412538E-01  4.617718E-03
1.445440E-01  4.946146E-03
1.479108E-01  5.297835E-03
1.513561E-01  5.674424E-03
1.548817E-01  6.077664E-03
1.584893E-01  6.509431E-03
1.621810E-01  6.971728E-03
1.659587E-01  7.466702E-03
1.698244E-01  7.996644E-03
1.737801E-01  8.564011E-03
1.778279E-01  9.171424E-03
1.819701E-01  9.821690E-03
1.862087E-01  1.051781E-02
1.905461E-01  1.126299E-02
1.949845E-01  1.206067E-02
1.995262E-01  1.291450E-02
2.041738E-01  1.382842E-02
2.089296E-01  1.480661E-02
2.137962E-01  1.585355E-02
2.187762E-01  1.697404E-02
2.238721E-01  1.817319E-02
2.290868E-01  1.945646E-02
2.344229E-01  2.082972E-02
2.398833E-01  2.229919E-02
2.454709E-01  2.387155E-02
2.511886E-01  2.555394E-02
2.570396E-01  2.735396E-02
2.630268E-01  2.927975E-02
2.691535E-01  3.133999E-02
2.754229E-01  3.354398E-02
2.818383E-01  3.590160E-02
2.884032E-01  3.842344E-02
2.951209E-01  4.112079E-02
3.019952E-01  4.400571E-02
3.090295E-01  4.709107E-02
3.162278E-01  5.039059E-02
3.235937E-01  5.391894E-02
3.311311E-01  5.769176E-02
3.388442E-01  6.172573E-02
3.467369E-01  6.603865E-02
3.548134E-01  7.064951E-02
3.630781E-01  7.557856E-02
3.715352E-01  8.084739E-02
3.801894E-01  8.647902E-02
3.890451E-01  9.249800E-02
3.981072E-01  9.893050E-02
4.073803E-01  1.058044E-01
4.168694E-01  1.131494E-01
4.265795E-01  1.209972E-01
4.365158E-01  1.293815E-01
4.466836E-01  1.383382E-01
4.570882E-01  1.479056E-01
4.677351E-01  1.581244E-01
4.786301E-01  1.690380E-01
4.897788E-01  1.806926E-01
5.011872E-01  1.931372E-01
5.128614E-01  2.064241E-01
5.248075E-01  2.206089E-01
5.370318E-01  2.357508E-01
5.495409E-01  2.519126E-01
5.623413E-01  2.691611E-01
5.754399E-01  2.875675E-01
5.888437E-01  3.072071E-01
6.025596E-01  3.281603E-01
6.165950E-01  3.505121E-01
6.309573E-01  3.743532E-01
6.456542E-01  3.997794E-01
6.606934E-01  4.268928E-01
6.760830E-01  4.558016E-01
6.918310E-01  4.866203E-01
7.079458E-01  5.194708E-01
7.244360E-01  5.544821E-01
7.413102E-01  5.917908E-01
7.585776E-01  6.315418E-01
7.762471E-01  6.738886E-01
7.943282E-01  7.189937E-01
8.128305E-01  7.670290E-01
8.317638E-01  8.181766E-01
8.511380E-01  8.726289E-01
8.709636E-01  9.305896E-01
8.912509E-01  9.922737E-01
9.120108E-01  1.057909E+00
9.332543E-01  1.127735E+00
9.549926E-01  1.202005E+00
9.772372E-01  1.280988E+00
1.000000E+00  1.364964E+00
1.023293E+00  1.454233E+00
1.047129E+00  1.549106E+00
1.071519E+00  1.649915E+00
1.096478E+00  1.757008E+00
1.122018E+00  1.870750E+00
1.148154E+00  1.991525E+00
1.174898E+00  2.119740E+00
1.202264E+00  2.255818E+00
1.230269E+00  2.400206E+00
1.258925E+00  2.553372E+00
1.288250E+00  2.715806E+00
1.318257E+00  2.888025E+00
1.348963E+00  3.070565E+00
1.380384E+00  3.263992E+00
1.412538E+00  3.468894E+00
1.445440E+00  3.685888E+00
1.479108E+00  3.915617E+00
1.513561E+00  4.158753E+00
1.548817E+00  4.415993E+00
1.584893E+00  4.688068E+00
1.621810E+00  4.975734E+00
1.659587E+00  5.279779E+00
1.698244E+00  5.601022E+00
1.737801E+00  5.940310E+00
1.778279E+00  6.298523E+00
1.819701E+00  6.676569E+00
1.862087E+00  7.075388E+00
1.905461E+00  7.495952E+00
1.949845E+00  7.939259E+00
1.995262E+00  8.406340E+00
2.041738E+00  8.898252E+00
2.089296E+00  9.416081E+00
2.137962E+00  9.960938E+00
2.187762E+00  1.053396E+01
2.238721E+00  1.113631E+01
2.290868E+00  1.176916E+01
2.344229E+00  1.243372E+01
2.398833E+00  1.313121E+01
2.454709E+00  1.386285E+01
2.511886E+00  1.462988E+01
2.570396E+00  1.543354E+01
2.630268E+00  1.627510E+01
2.691535E+00  1.715578E+01
2.754229E+00  1.807684E+01
2.818383E+00  1.903948E+01
2.884032E+00  2.004493E+01
2.951209E+00  2.109435E+01
3.019952E+00  2.218890E+01
3.090295E+00  2.332967E+01
3.162278E+00  2.451773E+01
3.235937E+00  2.575407E+01
3.311311E+00  2.703963E+01
3.388442E+00  2.837525E+01
3.467369E+00  2.976171E+01
3.548134E+00  3.119967E+01
3.630781E+00  3.268968E+01
3.715352E+00  3.423219E+01
3.801894E+00  3.582748E+01
3.890451E+00  3.747571E+01
3.981072E+00  3.917686E+01
4.073803E+00  4.093075E+01
4.168694E+00  4.273698E+01
4.265795E+00  4.459496E+01
4.365158E+00  4.650390E+01
4.466836E+00  4.846274E+01
4.570882E+00  5.047018E+01
4.677351E+00  5.252466E+01
4.786301E+00  5.462435E+01
4.897788E+00  5.676709E+01
5.011872E+00  5.895045E+01
5.128614E+00  6.117166E+01
5.248075E+00  6.342761E+01
5.370318E+00  6.571486E+01
5.495409E+00  6.802962E+01
5.623413E+00  7.036771E+01
5.754399E+00  7.272462E+01
5.888437E+00  7.509543E+01
6.025596E+00  7.747487E+01
6.165950E+00  7.985728E+01
6.309573E+00  8.223663E+01
6.456542E+00  8.460653E+01
6.606934E+00  8.696022E+01
6.760830E+00  8.929060E+01
6.918310E+00  9.159024E+01
7.079458E+00  9.385140E+01
7.244360E+00  9.606603E+01
7.413102E+00  9.822584E+01
7.585776E+00  1.003223E+02
7.762471E+00  1.023467E+02
7.943282E+00  1.042902E+02
8.128305E+00  1.061437E+02
8.317638E+00  1.078982E+02
8.511380E+00  1.095447E+02
8.709636E+00  1.110742E+02
8.912509E+00  1.124777E+02
9.120108E+00  1.137465E+02
9.332543E+00  1.148721E+02
9.549926E+00  1.158464E+02
9.772372E+00  1.166615E+02
1.000000E+01  1.173101E+02
1.023293E+01  1.177853E+02
1.047129E+01  1.180810E+02
1.071519E+01  1.181916E+02
1.096478E+01  1.181123E+02
1.122018E+01  1.178391E+02
1.148154E+01  1.173689E+02
1.174898E+01  1.166995E+02
1.202264E+01  1.158299E+02
1.230269E+01  1.147598E+02
1.258925E+01  1.134903E+02
1.288250E+01  1.120236E+02
1.318257E+01  1.103627E+02
1.348963E+01  1.085123E+02
1.380384E+01  1.064778E+02
1.412538E+01  1.042660E+02
1.445440E+01  1.018849E+02
1.479108E+01  9.934339E+01
1.513561E+01  9.665156E+01
1.548817E+01  9.382045E+01
1.584893E+01  9.086204E+01
1.621810E+01  8.778918E+01
1.659587E+01  8.461541E+01
1.698244E+01  8.135497E+01
1.737801E+01  7.802259E+01
1.778279E+01  7.463340E+01
1.819701E+01  7.120283E+01
1.862087E+01  6.774640E+01
1.905461E+01  6.427966E+01
1.949845E+01  6.081796E+01
1.995262E+01  5.737641E+01
2.041738E+01  5.396965E+01
2.089296E+01  5.061176E+01
2.137962E+01  4.731612E+01
2.187762E+01  4.409531E+01
2.238721E+01  4.096096E+01
2.290868E+01  3.792369E+01
2.344229E+01  3.499303E+01
2.398833E+01  3.217732E+01
2.454709E+01  2.948367E+01
2.511886E+01  2.691798E+01
2.570396E+01  2.448482E+01
2.630268E+01  2.218754E+01
2.691535E+01  2.002822E+01
2.754229E+01  1.800773E+01
2.818383E+01  1.612577E+01
2.884032E+01  1.438095E+01
2.951209E+01  1.277088E+01
3.019952E+01  1.129220E+01
3.090295E+01  9.940759E+00
3.162278E+01  8.711661E+00
3.235937E+01  7.599400E+00
3.311311E+01  6.597966E+00
3.388442E+01  5.700958E+00
3.467369E+01  4.901695E+00
3.548134E+01  4.193321E+00
3.630781E+01  3.568903E+00
3.715352E+01  3.021531E+00
3.801894E+01  2.544395E+00
3.890451E+01  2.130863E+00
