# Er [keV]  dR/dEr O16 [1/keV/kg/Myr]  S32  S34  Ca40  Ca44
1.011646E-03  3.358718E+08  2.808569E+07  0.000000E+00  8.433967E+07  2.808569E+06
1.035211E-03  3.357338E+08  2.671986E+07  0.000000E+00  8.258131E+07  3.228986E+06
1.059324E-03  3.353886E+08  2.650608E+07  0.000000E+00  7.959711E+07  3.076598E+06
1.083999E-03  3.316859E+08  2.536308E+07  0.000000E+00  7.739981E+07  2.582563E+06
1.109248E-03  3.355493E+08  2.565212E+07  0.000000E+00  7.812408E+07  2.222430E+06
1.135086E-03  3.333961E+08  2.503140E+07  0.000000E+00  7.494695E+07  2.613572E+06
1.161526E-03  3.339010E+08  2.604442E+07  0.000000E+00  7.284524E+07  2.590053E+06
1.188581E-03  3.346320E+08  2.601404E+07  0.000000E+00  7.041369E+07  2.636559E+06
1.216267E-03  3.356377E+08  2.868551E+07  0.000000E+00  7.018504E+07  3.194914E+06
1.244597E-03  3.329999E+08  2.601824E+07  0.000000E+00  6.586810E+07  2.887185E+06
1.273587E-03  3.289959E+08  2.473703E+07  0.000000E+00  6.449999E+07  2.460580E+06
1.303253E-03  3.349085E+08  2.487928E+07  0.000000E+00  6.351271E+07  2.628997E+06
1.333610E-03  3.298855E+08  2.450095E+07  0.000000E+00  6.369620E+07  2.537822E+06
1.364674E-03  3.316537E+08  2.385139E+07  0.000000E+00  6.273619E+07  2.480054E+06
1.396461E-03  3.334696E+08  2.282973E+07  0.000000E+00  6.076956E+07  2.184233E+06
1.428989E-03  3.250602E+08  2.271942E+07  0.000000E+00  5.941551E+07  2.456153E+06
1.462274E-03  3.352055E+08  2.125931E+07  0.000000E+00  5.720582E+07  2.171650E+06
1.496335E-03  3.301723E+08  2.105462E+07  0.000000E+00  5.442369E+07  1.731282E+06
1.531189E-03  3.373923E+08  2.218537E+07  0.000000E+00  5.550436E+07  2.374080E+06
1.566855E-03  3.348591E+08  2.018701E+07  0.000000E+00  5.309424E+07  1.706696E+06
1.603352E-03  3.314845E+08  2.017052E+07  0.000000E+00  5.271959E+07  1.719967E+06
1.640699E-03  3.321394E+08  2.062819E+07  0.000000E+00  5.281836E+07  1.706283E+06
1.678915E-03  3.277645E+08  1.923781E+07  0.000000E+00  4.870426E+07  1.592781E+06
1.718022E-03  3.399062E+08  1.914039E+07  0.000000E+00  4.961424E+07  1.556525E+06
1.758040E-03  3.318362E+08  1.834820E+07  0.000000E+00  4.777187E+07  1.639930E+06
1.798990E-03  3.317151E+08  1.853442E+07  0.000000E+00  4.768317E+07  1.602600E+06
1.840894E-03  3.329028E+08  1.688687E+07  0.000000E+00  4.605303E+07  1.725003E+06
