# Er [keV]  dR/dEr O16 [1/keV/kg/Myr]  Zr90  Zr91  Zr92  Zr94  Zr96
1.011646E-03  3.398243E+08  1.244612E+08  4.354661E+07  5.366093E+07  6.796487E+07  6.982692E+06
1.035211E-03  3.371758E+08  1.205529E+08  4.354791E+07  5.322522E+07  6.468085E+07  7.444087E+06
1.059324E-03  3.379474E+08  1.145756E+08  4.025300E+07  5.415565E+07  6.159194E+07  6.345102E+06
1.083999E-03  3.442359E+08  1.149296E+08  4.332570E+07  5.035576E+07  6.022944E+07  6.990564E+06
1.109248E-03  3.387931E+08  1.127766E+08  4.145178E+07  5.086914E+07  5.924440E+07  6.908631E+06
1.135086E-03  3.399070E+08  1.135664E+08  3.960301E+07  5.012610E+07  6.091321E+07  5.959311E+06
1.161526E-03  3.447017E+08  1.073691E+08  3.755892E+07  4.905881E+07  5.948980E+07  5.749943E+06
1.188581E-03  3.372155E+08  1.057896E+08  3.792864E+07  4.560082E+07  5.799156E+07  5.511000E+06
1.216267E-03  3.414019E+08  1.055287E+08  3.607969E+07  4.611161E+07  5.649552E+07  5.983949E+06
1.244597E-03  3.399943E+08  9.944594E+07  3.622157E+07  4.444280E+07  5.703264E+07  5.778941E+06
1.273587E-03  3.409279E+08  9.600573E+07  3.381714E+07  4.393539E+07  5.442342E+07  5.849089E+06
1.303253E-03  3.382592E+08  9.740105E+07  3.501839E+07  4.411791E+07  5.279038E+07  5.617396E+06
1.333610E-03  3.432079E+08  9.502342E+07  3.242353E+07  4.337049E+07  4.946996E+07  5.007991E+06
1.364674E-03  3.364308E+08  9.126046E+07  3.375602E+07  4.200679E+07  4.963013E+07  5.207713E+06
1.396461E-03  3.404533E+08  9.050140E+07  3.295698E+07  3.988561E+07  5.260854E+07  4.782594E+06
1.428989E-03  3.409725E+08  8.856118E+07  3.307562E+07  4.131457E+07  4.913408E+07  5.722322E+06
1.462274E-03  3.395936E+08  8.707228E+07  3.103450E+07  3.917374E+07  4.748865E+07  5.474955E+06
1.496335E-03  3.399319E+08  8.563389E+07  3.104336E+07  3.819620E+07  4.763796E+07  4.434765E+06
1.531189E-03  3.395476E+08  8.404810E+07  3.190249E+07  3.866884E+07  4.518355E+07  4.920980E+06
1.566855E-03  3.459449E+08  8.426618E+07  2.975547E+07  3.489232E+07  4.379983E+07  4.890936E+06
1.603352E-03  3.409006E+08  8.047893E+07  2.803679E+07  3.602060E+07  4.461854E+07  5.019920E+06
1.640699E-03  3.424824E+08  7.854263E+07  2.786828E+07  3.397425E+07  4.342024E+07  4.696901E+06
1.678915E-03  3.448865E+08  7.831028E+07  2.787142E+07  3.263991E+07  4.319688E+07  4.895986E+06
1.718022E-03  3.423936E+08  7.642804E+07  2.708747E+07  3.361638E+07  4.188964E+07  3.987117E+06
1.758040E-03  3.483345E+08  7.427434E+07  2.612996E+07  3.314340E+07  3.930452E+07  4.285995E+06
1.798990E-03  3.434991E+08  7.317859E+07  2.634429E+07  3.162743E+07  4.000430E+07  4.521604E+06
1.840894E-03  3.467036E+08  7.214076E+07  2.458181E+07  3.144240E+07  3.804716E+07  3.814018E+06
1.883774E-03  3.396980E+08  6.995320E+07  2.340864E+07  3.059032E+07  3.865835E+07  4.409006E+06
1.927653E-03  3.422485E+08  6.742807E+07  2.389743E+07  3.033819E+07  3.657906E+07  3.486893E+06
1.972553E-03  3.407956E+08  6.739079E+07  2.259382E+07  3.090644E+07  3.500848E+07  4.319088E+06
2.018500E-03  3.454459E+08  6.589921E+07  2.354301E+07  2.996961E+07  3.499636E+07  4.051094E+06
2.065517E-03  3.450651E+08  6.466861E+07  2.213656E+07  2.789870E+07  3.395102E+07  3.565065E+06
2.113629E-03  3.435706E+08  6.230534E+07  2.193650E+07  2.789157E+07  3.139573E+07  4.071318E+06
2.162862E-03  3.432916E+08  6.189660E+07  2.377289E+07  2.695976E+07  3.329392E+07  3.404610E+06
2.213241E-03  3.416286E+08  5.984932E+07  2.180032E+07  2.688771E+07  3.238131E+07  2.978926E+06
2.264794E-03  3.359505E+08  5.784427E+07  2.007537E+07  2.659702E+07  3.168203E+07  3.572735E+06
2.317548E-03  3.320903E+08  5.835641E+07  1.985854E+07  2.510489E+07  3.109017E+07  3.029583E+06
2.371531E-03  3.216606E+08  5.502422E+07  2.007445E+07  2.525554E+07  3.114068E+07  2.942568E+06
2.426771E-03  3.143740E+08  5.625919E+07  1.938816E+07  2.487471E+07  3.122570E+07  2.963795E+06
2.483298E-03  3.063732E+08  5.356489E+07  1.905027E+07  2.406713E+07  2.941155E+07  3.189412E+06
2.541141E-03  2.987760E+08  5.217713E+07  1.898728E+07  2.405842E+07  2.838827E+07  2.779860E+06
2.600332E-03  2.939507E+08  5.136810E+07  1.895022E+07  2.234183E+07  2.833478E+07  3.457469E+06
2.660901E-03  2.858598E+08  5.201692E+07  1.876020E+07  2.162411E+07  2.801159E+07  2.622567E+06
2.722882E-03  2.772459E+08  4.959075E+07  1.710676E+07  2.273564E+07  2.778277E+07  2.704378E+06
2.786306E-03  2.724562E+08  4.942993E+07  1.762391E+07  2.232567E+07  2.656648E+07  2.965489E+06
2.851207E-03  2.646627E+08  4.762907E+07  1.786841E+07  2.057119E+07  2.644224E+07  2.837924E+06
2.917620E-03  2.621159E+08  4.638349E+07  1.630245E+07  1.994153E+07  2.560557E+07  2.582567E+06
2.985580E-03  2.558913E+08  4.644617E+07  1.647627E+07  2.006119E+07  2.608385E+07  2.624158E+06
3.055124E-03  2.459606E+08  4.505261E+07  1.643755E+07  1.999691E+07  2.490155E+07  2.536399E+06
3.126287E-03  2.433883E+08  4.434205E+07  1.591274E+07  1.971975E+07  2.348568E+07  2.300638E+06
3.199107E-03  2.392399E+08  4.322564E+07  1.597877E+07  1.952514E+07  2.391462E+07  2.395477E+06
3.273624E-03  2.323425E+08  4.237249E+07  1.509193E+07  1.807370E+07  2.348796E+07  2.510962E+06
3.349876E-03  2.275649E+08  4.019385E+07  1.501678E+07  1.830130E+07  2.251878E+07  2.683850E+06
3.427905E-03  2.253199E+08  4.034052E+07  1.461251E+07  1.764742E+07  2.194374E+07  2.435418E+06
3.507751E-03  2.164807E+08  3.853129E+07  1.412122E+07  1.799022E+07  2.110250E+07  2.379981E+06
3.589457E-03  2.148210E+08  3.869188E+07  1.422916E+07  1.742566E+07  2.109924E+07  2.182680E+06
3.673066E-03  2.079147E+08  3.682041E+07  1.366050E+07  1.782159E+07  2.102691E+07  1.969816E+06
3.758623E-03  2.001521E+08  3.695046E+07  1.238136E+07  1.691474E+07  2.025213E+07  2.209737E+06
3.846173E-03  1.970876E+08  3.540810E+07  1.291210E+07  1.677460E+07  2.043674E+07  2.359798E+06
3.935762E-03  1.924926E+08  3.681030E+07  1.278135E+07  1.620784E+07  1.977574E+07  2.012383E+06
4.027437E-03  1.880578E+08  3.480308E+07  1.293688E+07  1.600899E+07  1.965513E+07  1.892165E+06
4.121248E-03  1.852522E+08  3.474842E+07  1.228920E+07  1.544721E+07  1.822085E+07  2.067245E+06
4.217245E-03  1.788426E+08  3.399806E+07  1.256781E+07  1.506513E+07  1.890247E+07  2.020189E+06
4.315477E-03  1.795831E+08  3.374004E+07  1.140872E+07  1.532736E+07  1.766863E+07  1.795633E+06
4.415997E-03  1.713265E+08  3.169231E+07  1.206033E+07  1.465854E+07  1.764454E+07  2.249194E+06
4.518859E-03  1.690657E+08  3.248676E+07  1.141632E+07  1.419223E+07  1.804820E+07  1.800083E+06
4.624117E-03  1.655599E+08  3.154359E+07  1.123052E+07  1.432284E+07  1.786884E+07  1.842434E+06
4.731826E-03  1.612393E+08  3.066271E+07  1.076678E+07  1.311919E+07  1.545350E+07  1.918116E+06
4.842045E-03  1.559422E+08  2.980559E+07  1.099916E+07  1.315655E+07  1.661368E+07  1.821404E+06
4.954830E-03  1.564708E+08  2.861734E+07  1.042909E+07  1.286571E+07  1.614910E+07  1.788584E+06
5.070243E-03  1.528331E+08  2.831213E+07  1.088408E+07  1.296971E+07  1.520732E+07  1.452337E+06
5.188344E-03  1.456905E+08  2.803899E+07  1.016599E+07  1.290553E+07  1.516647E+07  1.683329E+06
5.309196E-03  1.427290E+08  2.804584E+07  1.038616E+07  1.252306E+07  1.562762E+07  1.620821E+06
5.432863E-03  1.399056E+08  2.756505E+07  9.432636E+06  1.231680E+07  1.483847E+07  1.363280E+06
5.559411E-03  1.368827E+08  2.673737E+07  9.264129E+06  1.252159E+07  1.453151E+07  1.540171E+06
5.688906E-03  1.346173E+08  2.514290E+07  9.497259E+06  1.167215E+07  1.438887E+07  1.685726E+06
5.821418E-03  1.295821E+08  2.546045E+07  8.876591E+06  1.105345E+07  1.387749E+07  1.412018E+06
5.957016E-03  1.266108E+08  2.556365E+07  8.868580E+06  1.101745E+07  1.357597E+07  1.451745E+06
6.095773E-03  1.259341E+08  2.489044E+07  8.856335E+06  1.110378E+07  1.346360E+07  1.460839E+06
6.237762E-03  1.239872E+08  2.367871E+07  8.743964E+06  1.061767E+07  1.375424E+07  1.331498E+06
6.383058E-03  1.201790E+08  2.295862E+07  8.766264E+06  1.032903E+07  1.309238E+07  1.287776E+06
6.531738E-03  1.161390E+08  2.297349E+07  8.566719E+06  1.057239E+07  1.287957E+07  1.369889E+06
6.683882E-03  1.146547E+08  2.236088E+07  7.878509E+06  9.819313E+06  1.184979E+07  1.377138E+06
6.839570E-03  1.106114E+08  2.222119E+07  7.830622E+06  9.796102E+06  1.220601E+07  1.489759E+06
6.998884E-03  1.067356E+08  2.115873E+07  7.988811E+06  9.524179E+06  1.205662E+07  1.284571E+06
7.161909E-03  1.052744E+08  2.137052E+07  7.705341E+06  9.683982E+06  1.138167E+07  1.189576E+06
7.328731E-03  1.036258E+08  2.125793E+07  7.506579E+06  9.247405E+06  1.161329E+07  1.261806E+06
7.499439E-03  1.016438E+08  2.075692E+07  7.141612E+06  8.974112E+06  1.145741E+07  1.198832E+06
7.674123E-03  9.841519E+07  2.059684E+07  6.906525E+06  8.602473E+06  1.100693E+07  1.232910E+06
7.852877E-03  9.519367E+07  1.915213E+07  7.229071E+06  8.902770E+06  1.086541E+07  1.324784E+06
8.035794E-03  9.443331E+07  2.009072E+07  7.064517E+06  8.428406E+06  1.099102E+07  1.172092E+06
8.222971E-03  9.212234E+07  1.907631E+07  6.575705E+06  8.382331E+06  1.041804E+07  1.062109E+06
8.414509E-03  8.822935E+07  1.861664E+07  6.639715E+06  8.278021E+06  1.054214E+07  1.139691E+06
8.610508E-03  8.871202E+07  1.799896E+07  6.309582E+06  8.104506E+06  9.954123E+06  9.397249E+05
8.811073E-03  8.530790E+07  1.714710E+07  6.224265E+06  7.900589E+06  9.960768E+06  1.068960E+06
9.016309E-03  8.350851E+07  1.776817E+07  6.082583E+06  7.768233E+06  9.577339E+06  1.020886E+06
9.226326E-03  8.287904E+07  1.711779E+07  6.264302E+06  7.767735E+06  9.215485E+06  9.790873E+05
9.441234E-03  8.132351E+07  1.709544E+07  6.139848E+06  7.459416E+06  9.259652E+06  9.749389E+05
9.661149E-03  7.789036E+07  1.635179E+07  5.844990E+06  7.382678E+06  9.110916E+06  1.081257E+06
9.886186E-03  7.749879E+07  1.621343E+07  6.062713E+06  7.301238E+06  9.046433E+06  9.743645E+05
1.011646E-02  7.513800E+07  1.613637E+07  5.573458E+06  7.236608E+06  9.081732E+06  1.062216E+06
1.035211E-02  7.316711E+07  1.554987E+07  5.591337E+06  7.175273E+06  8.767480E+06  9.305109E+05
1.059324E-02  7.229779E+07  1.572130E+07  5.375150E+06  6.805829E+06  8.192052E+06  8.648738E+05
1.083999E-02  7.035193E+07  1.530025E+07  5.450270E+06  6.532425E+06  7.962134E+06  8.293889E+05
1.109248E-02  6.865789E+07  1.509092E+07  5.121650E+06  6.750388E+06  8.058783E+06  9.224373E+05
1.135086E-02  6.693287E+07  1.445699E+07  5.152164E+06  6.547698E+06  7.969635E+06  7.618866E+05
1.161526E-02  6.497436E+07  1.406525E+07  5.016457E+06  6.442885E+06  7.898800E+06  7.887742E+05
1.188581E-02  6.410049E+07  1.429258E+07  4.977909E+06  6.206178E+06  7.870284E+06  8.140431E+05
1.216267E-02  6.175083E+07  1.379828E+07  4.857558E+06  6.040268E+06  7.694654E+06  8.166330E+05
1.244597E-02  6.149756E+07  1.369747E+07  4.743547E+06  6.064448E+06  7.319991E+06  7.774051E+05
1.273587E-02  5.955650E+07  1.342601E+07  4.642294E+06  5.802027E+06  7.506330E+06  7.597092E+05
1.303253E-02  5.828295E+07  1.272291E+07  4.589183E+06  5.673242E+06  7.286190E+06  7.325610E+05
1.333610E-02  5.670908E+07  1.243330E+07  4.542505E+06  5.656462E+06  7.036869E+06  7.158859E+05
1.364674E-02  5.572880E+07  1.268988E+07  4.382636E+06  5.650055E+06  6.832770E+06  6.337096E+05
1.396461E-02  5.363557E+07  1.182466E+07  4.270611E+06  5.377353E+06  6.637383E+06  7.173892E+05
1.428989E-02  5.263338E+07  1.200489E+07  4.523930E+06  5.356813E+06  6.546217E+06  7.190353E+05
1.462274E-02  5.150264E+07  1.164672E+07  4.312625E+06  5.264155E+06  6.596296E+06  7.553681E+05
1.496335E-02  5.075088E+07  1.167631E+07  4.340348E+06  5.233023E+06  6.217255E+06  6.609231E+05
1.531189E-02  4.918184E+07  1.159226E+07  3.945172E+06  4.904204E+06  6.419642E+06  6.570627E+05
1.566855E-02  4.809511E+07  1.082564E+07  4.177788E+06  4.945583E+06  6.251654E+06  6.503032E+05
1.603352E-02  4.754772E+07  1.095037E+07  3.845045E+06  4.606044E+06  6.192125E+06  6.248198E+05
1.640699E-02  4.649672E+07  1.071154E+07  3.812318E+06  4.662979E+06  5.803283E+06  6.653944E+05
1.678915E-02  4.521902E+07  1.005972E+07  3.682190E+06  4.574687E+06  5.849683E+06  5.635484E+05
1.718022E-02  4.372122E+07  1.040139E+07  3.663163E+06  4.455603E+06  5.738956E+06  5.781319E+05
1.758040E-02  4.298901E+07  1.016219E+07  3.735634E+06  4.439414E+06  5.381845E+06  5.503607E+05
1.798990E-02  4.165111E+07  9.766665E+06  3.553029E+06  4.324082E+06  5.692462E+06  5.616308E+05
1.840894E-02  4.103558E+07  9.569931E+06  3.348894E+06  4.469844E+06  5.446604E+06  5.953590E+05
1.883774E-02  4.008786E+07  9.611178E+06  3.515841E+06  4.277190E+06  5.377169E+06  5.613528E+05
1.927653E-02  3.861567E+07  9.361308E+06  3.346973E+06  4.295319E+06  5.256991E+06  5.330282E+05
1.972553E-02  3.831400E+07  9.215501E+06  3.331558E+06  4.121582E+06  5.100430E+06  5.382582E+05
2.018500E-02  3.707493E+07  8.999367E+06  3.151794E+06  3.917471E+06  4.772231E+06  5.111590E+05
2.065517E-02  3.655849E+07  8.686736E+06  3.119431E+06  3.886335E+06  4.922691E+06  5.575595E+05
2.113629E-02  3.548326E+07  8.894108E+06  3.082859E+06  3.945735E+06  4.764049E+06  4.901786E+05
2.162862E-02  3.454888E+07  8.458081E+06  3.030499E+06  3.893528E+06  4.566532E+06  5.067327E+05
2.213241E-02  3.396749E+07  8.729800E+06  2.847389E+06  3.756541E+06  4.623138E+06  4.197577E+05
2.264794E-02  3.354023E+07  8.124663E+06  2.822271E+06  3.606761E+06  4.572722E+06  4.442289E+05
2.317548E-02  3.240176E+07  7.926792E+06  2.891035E+06  3.478478E+06  4.411368E+06  4.747578E+05
2.371531E-02  3.150353E+07  7.845645E+06  2.863137E+06  3.624955E+06  4.500505E+06  4.170143E+05
2.426771E-02  3.137918E+07  7.608839E+06  2.819134E+06  3.418950E+06  4.225173E+06  4.710318E+05
2.483298E-02  3.033045E+07  7.549425E+06  2.858403E+06  3.389397E+06  4.341049E+06  4.344497E+05
2.541141E-02  2.980515E+07  7.490459E+06  2.724263E+06  3.288658E+06  4.109138E+06  4.649947E+05
2.600332E-02  2.901969E+07  7.270562E+06  2.635908E+06  3.315877E+06  3.959625E+06  4.823992E+05
2.660901E-02  2.848944E+07  7.183902E+06  2.524422E+06  3.211438E+06  3.986945E+06  3.813180E+05
2.722882E-02  2.768843E+07  7.036100E+06  2.448091E+06  3.100601E+06  3.891474E+06  3.915059E+05
2.786306E-02  2.684305E+07  6.905132E+06  2.398512E+06  3.026949E+06  3.970374E+06  4.332994E+05
2.851207E-02  2.622001E+07  6.627829E+06  2.390463E+06  2.995586E+06  3.678790E+06  3.934053E+05
2.917620E-02  2.571415E+07  6.496037E+06  2.447569E+06  2.856965E+06  3.753527E+06  4.035261E+05
2.985580E-02  2.511162E+07  6.662207E+06  2.391856E+06  2.823480E+06  3.701067E+06  3.584916E+05
3.055124E-02  2.443351E+07  6.317174E+06  2.288364E+06  2.818065E+06  3.574781E+06  3.867658E+05
3.126287E-02  2.390609E+07  6.359620E+06  2.397867E+06  2.744332E+06  3.405765E+06  4.176753E+05
3.199107E-02  2.362957E+07  6.056943E+06  2.240239E+06  2.655098E+06  3.395153E+06  3.814027E+05
3.273624E-02  2.284583E+07  6.082544E+06  2.134318E+06  2.728056E+06  3.327025E+06  3.910301E+05
3.349876E-02  2.236542E+07  5.936421E+06  2.127910E+06  2.521541E+06  3.251293E+06  3.258961E+05
3.427905E-02  2.188255E+07  5.805038E+06  2.066983E+06  2.658977E+06  3.229739E+06  3.609415E+05
3.507751E-02  2.105978E+07  5.703412E+06  2.015051E+06  2.574041E+06  3.082991E+06  3.331974E+05
3.589457E-02  2.108493E+07  5.622488E+06  2.000193E+06  2.490402E+06  3.127315E+06  3.256129E+05
3.673066E-02  2.019936E+07  5.407087E+06  1.952332E+06  2.354455E+06  2.958221E+06  3.671550E+05
3.758623E-02  2.026580E+07  5.249835E+06  1.952314E+06  2.409069E+06  2.945557E+06  3.143750E+05
3.846173E-02  1.947501E+07  5.106959E+06  1.852219E+06  2.323065E+06  2.859585E+06  2.960878E+05
3.935762E-02  1.910676E+07  5.260478E+06  1.905781E+06  2.237553E+06  2.918499E+06  2.860847E+05
4.027437E-02  1.854534E+07  5.004669E+06  1.762477E+06  2.289732E+06  2.775529E+06  3.401645E+05
4.121248E-02  1.819799E+07  4.970738E+06  1.745212E+06  2.171127E+06  2.775718E+06  3.022957E+05
4.217245E-02  1.796141E+07  4.965198E+06  1.784670E+06  2.209011E+06  2.705429E+06  2.842477E+05
4.315477E-02  1.725395E+07  4.691463E+06  1.712300E+06  2.117061E+06  2.670632E+06  2.986108E+05
4.415997E-02  1.693391E+07  4.666108E+06  1.683987E+06  2.164849E+06  2.552641E+06  2.772713E+05
4.518859E-02  1.638455E+07  4.479365E+06  1.706289E+06  1.955459E+06  2.558013E+06  2.558013E+05
4.624117E-02  1.600418E+07  4.541277E+06  1.585049E+06  2.055379E+06  2.418311E+06  2.823832E+05
4.731826E-02  1.570502E+07  4.300379E+06  1.608684E+06  1.914497E+06  2.501693E+06  2.533360E+05
4.842045E-02  1.532101E+07  4.332465E+06  1.544656E+06  1.975250E+06  2.418223E+06  2.740947E+05
4.954830E-02  1.502238E+07  4.185459E+06  1.474934E+06  1.911279E+06  2.377002E+06  2.626712E+05
5.070243E-02  1.462132E+07  4.258218E+06  1.499622E+06  1.919280E+06  2.288275E+06  2.186949E+05
5.188344E-02  1.442300E+07  3.997082E+06  1.458060E+06  1.879718E+06  2.261768E+06  2.260942E+05
5.309196E-02  1.399551E+07  3.996412E+06  1.455513E+06  1.784516E+06  2.214315E+06  2.193350E+05
5.432863E-02  1.363516E+07  3.856585E+06  1.370372E+06  1.745471E+06  2.180460E+06  2.222225E+05
5.559411E-02  1.347727E+07  3.813463E+06  1.356121E+06  1.728842E+06  2.096173E+06  2.179342E+05
5.688906E-02  1.321338E+07  3.738699E+06  1.326004E+06  1.665407E+06  2.103395E+06  2.227566E+05
5.821418E-02  1.289275E+07  3.716107E+06  1.339946E+06  1.584107E+06  1.994475E+06  2.176861E+05
5.957016E-02  1.247926E+07  3.537371E+06  1.295790E+06  1.563860E+06  1.988603E+06  2.120123E+05
6.095773E-02  1.221065E+07  3.439994E+06  1.283150E+06  1.559867E+06  1.840095E+06  2.064839E+05
6.237762E-02  1.202604E+07  3.395321E+06  1.220998E+06  1.567599E+06  1.957440E+06  1.818799E+05
6.383058E-02  1.153163E+07  3.425349E+06  1.198570E+06  1.516490E+06  1.883372E+06  1.958492E+05
6.531738E-02  1.140744E+07  3.289699E+06  1.207993E+06  1.467550E+06  1.885727E+06  1.907357E+05
6.683882E-02  1.116571E+07  3.209692E+06  1.184339E+06  1.454001E+06  1.837678E+06  1.767861E+05
6.839570E-02  1.075944E+07  3.211744E+06  1.123578E+06  1.409011E+06  1.745146E+06  1.977999E+05
6.998884E-02  1.055734E+07  3.063397E+06  1.066806E+06  1.428321E+06  1.691964E+06  2.012495E+05
7.161909E-02  1.035947E+07  3.027141E+06  1.143547E+06  1.307338E+06  1.612204E+06  1.882996E+05
7.328731E-02  1.009445E+07  2.922600E+06  1.096486E+06  1.317302E+06  1.671309E+06  1.740825E+05
7.499439E-02  9.866385E+06  2.858928E+06  1.051547E+06  1.282750E+06  1.595588E+06  1.706908E+05
7.674123E-02  9.703166E+06  2.857449E+06  1.022590E+06  1.251320E+06  1.613940E+06  1.790787E+05
7.852877E-02  9.525909E+06  2.785864E+06  1.069641E+06  1.233194E+06  1.581018E+06  1.504693E+05
8.035794E-02  9.201453E+06  2.678230E+06  9.760328E+05  1.184345E+06  1.508802E+06  1.566341E+05
8.222971E-02  9.063851E+06  2.722956E+06  9.517330E+05  1.195914E+06  1.478622E+06  1.442178E+05
8.414509E-02  8.753740E+06  2.659448E+06  9.432975E+05  1.176324E+06  1.468369E+06  1.663745E+05
8.610508E-02  8.529620E+06  2.584492E+06  9.357473E+05  1.173413E+06  1.433951E+06  1.481683E+05
8.811073E-02  8.350039E+06  2.585427E+06  8.498235E+05  1.172941E+06  1.408112E+06  1.491686E+05
9.016309E-02  8.235467E+06  2.462948E+06  9.078766E+05  1.115378E+06  1.389830E+06  1.543200E+05
9.226326E-02  7.978865E+06  2.474167E+06  8.649378E+05  1.087204E+06  1.339169E+06  1.535914E+05
9.441234E-02  7.765048E+06  2.426464E+06  8.198556E+05  1.062003E+06  1.295989E+06  1.500952E+05
9.661149E-02  7.598930E+06  2.267980E+06  8.313268E+05  1.029409E+06  1.294406E+06  1.329414E+05
9.886186E-02  7.432886E+06  2.300366E+06  8.496459E+05  1.003812E+06  1.205614E+06  1.294822E+05
