# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  S32  S34  Co59
1.011646E-03  4.806948E+07  7.436414E+05  2.485710E+04  0.000000E+00  1.491426E+05
1.035211E-03  4.592671E+07  8.056608E+05  1.619419E+04  0.000000E+00  1.275292E+05
1.059324E-03  4.562707E+07  8.071036E+05  2.769473E+04  0.000000E+00  1.384737E+05
1.083999E-03  4.495384E+07  8.080634E+05  2.319799E+04  0.000000E+00  1.333884E+05
1.109248E-03  4.367553E+07  7.745563E+05  2.078078E+04  0.000000E+00  1.133497E+05
1.135086E-03  4.232320E+07  7.975407E+05  1.846159E+04  0.000000E+00  1.624620E+05
1.161526E-03  4.147527E+07  8.172733E+05  3.788684E+04  0.000000E+00  1.226812E+05
1.188581E-03  4.085206E+07  8.268790E+05  2.291989E+04  0.000000E+00  1.287040E+05
1.216267E-03  3.959824E+07  7.994423E+05  2.067523E+04  0.000000E+00  1.240514E+05
1.244597E-03  3.831467E+07  8.267051E+05  2.357204E+04  0.000000E+00  1.195439E+05
1.273587E-03  3.784070E+07  8.095324E+05  2.797165E+04  0.000000E+00  1.283405E+05
1.303253E-03  3.738133E+07  7.718099E+05  3.376669E+04  0.000000E+00  1.350667E+05
1.333610E-03  3.634972E+07  7.448134E+05  1.414203E+04  0.000000E+00  1.162789E+05
1.364674E-03  3.545013E+07  7.585707E+05  1.842682E+04  0.000000E+00  9.827637E+04
1.396461E-03  3.475423E+07  8.688558E+05  1.050430E+04  0.000000E+00  9.003687E+04
1.428989E-03  3.431068E+07  8.050845E+05  1.466456E+04  0.000000E+00  7.918864E+04
1.462274E-03  3.302523E+07  7.523647E+05  1.862998E+04  0.000000E+00  1.132130E+05
1.496335E-03  3.233510E+07  7.814538E+05  1.540500E+04  0.000000E+00  1.022332E+05
1.531189E-03  3.203564E+07  7.883002E+05  1.916007E+04  0.000000E+00  6.432310E+04
1.566855E-03  3.056014E+07  7.663440E+05  1.069939E+04  0.000000E+00  9.094484E+04
1.603352E-03  3.032718E+07  8.024861E+05  1.960471E+04  0.000000E+00  7.841883E+04
1.640699E-03  2.913873E+07  7.803876E+05  1.660399E+04  0.000000E+00  9.068334E+04
1.678915E-03  2.852288E+07  8.125501E+05  1.997051E+04  0.000000E+00  1.011007E+05
1.718022E-03  2.790533E+07  7.403854E+05  1.951592E+04  0.000000E+00  8.660191E+04
1.758040E-03  2.770639E+07  7.890911E+05  2.503159E+04  0.000000E+00  6.675091E+04
1.798990E-03  2.677985E+07  8.014152E+05  8.153934E+03  0.000000E+00  8.386903E+04
1.840894E-03  2.605643E+07  8.218761E+05  1.821332E+04  0.000000E+00  7.854494E+04
1.883774E-03  2.567134E+07  8.309784E+05  1.112421E+04  0.000000E+00  8.231915E+04
1.927653E-03  2.498697E+07  7.881468E+05  8.696793E+03  0.000000E+00  8.044533E+04
1.972553E-03  2.445857E+07  8.148253E+05  2.124707E+04  0.000000E+00  7.117770E+04
2.018500E-03  2.380216E+07  8.066593E+05  7.267201E+03  0.000000E+00  7.890104E+04
2.065517E-03  2.341152E+07  8.075738E+05  1.318902E+04  0.000000E+00  7.304687E+04
2.113629E-03  2.268925E+07  8.060457E+05  9.914462E+03  0.000000E+00  6.246111E+04
2.162862E-03  2.227160E+07  8.080443E+05  1.259542E+04  0.000000E+00  5.813269E+04
2.213241E-03  2.183376E+07  8.142684E+05  1.041506E+04  0.000000E+00  5.680942E+04
2.264794E-03  2.139690E+07  8.438475E+05  1.295380E+04  0.000000E+00  7.494698E+04
2.317548E-03  2.052737E+07  7.423561E+05  9.042096E+03  0.000000E+00  7.052835E+04
2.371531E-03  2.042681E+07  7.263417E+05  9.719901E+03  0.000000E+00  7.245744E+04
2.426771E-03  1.961903E+07  7.365770E+05  7.771622E+03  0.000000E+00  5.785540E+04
2.483298E-03  1.935809E+07  6.776176E+05  1.265786E+04  0.000000E+00  5.822617E+04
2.541141E-03  1.915825E+07  6.819847E+05  9.071139E+03  0.000000E+00  6.679657E+04
2.600332E-03  1.849812E+07  7.260958E+05  1.531168E+04  0.000000E+00  5.963495E+04
2.660901E-03  1.816840E+07  6.442025E+05  8.662870E+03  0.000000E+00  5.827749E+04
2.722882E-03  1.773714E+07  6.980338E+05  8.465679E+03  0.000000E+00  6.926465E+04
2.786306E-03  1.728601E+07  6.272421E+05  9.777155E+03  0.000000E+00  5.490248E+04
2.851207E-03  1.685725E+07  5.989999E+05  1.469938E+04  0.000000E+00  4.997791E+04
2.917620E-03  1.647497E+07  5.824920E+05  8.618871E+03  0.000000E+00  5.961386E+04
2.985580E-03  1.616242E+07  5.741461E+05  9.124572E+03  0.000000E+00  4.913231E+04
3.055124E-03  1.569506E+07  6.125205E+05  5.487305E+03  0.000000E+00  5.007166E+04
3.126287E-03  1.536931E+07  5.710955E+05  6.032699E+03  0.000000E+00  6.166759E+04
3.199107E-03  1.519435E+07  5.508903E+05  9.170588E+03  0.000000E+00  4.847311E+04
3.273624E-03  1.461676E+07  5.537137E+05  7.041445E+03  0.000000E+00  4.993025E+04
3.349876E-03  1.429155E+07  5.104572E+05  1.188564E+04  0.000000E+00  4.316366E+04
3.427905E-03  1.413679E+07  5.312377E+05  1.100377E+04  0.000000E+00  5.135094E+04
3.507751E-03  1.378632E+07  5.095868E+05  8.363675E+03  0.000000E+00  4.122097E+04
3.589457E-03  1.341822E+07  4.944843E+05  4.670454E+03  0.000000E+00  4.787216E+04
3.673066E-03  1.307170E+07  4.763823E+05  1.083984E+04  0.000000E+00  4.792349E+04
3.758623E-03  1.279367E+07  4.716714E+05  9.478030E+03  0.000000E+00  3.735459E+04
3.846173E-03  1.257818E+07  4.767352E+05  1.035196E+04  0.000000E+00  4.467690E+04
3.935762E-03  1.230677E+07  4.552346E+05  3.194629E+03  0.000000E+00  3.993286E+04
4.027437E-03  1.193870E+07  4.620427E+05  7.804775E+03  0.000000E+00  3.954419E+04
4.121248E-03  1.173864E+07  4.357626E+05  8.644066E+03  0.000000E+00  3.966101E+04
4.217245E-03  1.138995E+07  4.223651E+05  6.459702E+03  0.000000E+00  3.130471E+04
4.315477E-03  1.131277E+07  4.200348E+05  5.827072E+03  0.000000E+00  3.787597E+04
4.415997E-03  1.104055E+07  4.175917E+05  5.694432E+03  0.000000E+00  3.653927E+04
4.518859E-03  1.060514E+07  4.002026E+05  3.709874E+03  0.000000E+00  3.060646E+04
4.624117E-03  1.048881E+07  3.933588E+05  4.984962E+03  0.000000E+00  3.353520E+04
4.731826E-03  1.005608E+07  3.658046E+05  7.085804E+03  0.000000E+00  3.011467E+04
4.842045E-03  9.992070E+06  3.553140E+05  6.058947E+03  0.000000E+00  3.505534E+04
4.954830E-03  9.776464E+06  3.666809E+05  5.921029E+03  0.000000E+00  3.933255E+04
5.070243E-03  9.458038E+06  3.699067E+05  5.372946E+03  0.000000E+00  3.058446E+04
5.188344E-03  9.315448E+06  3.477541E+05  4.442852E+03  0.000000E+00  3.271554E+04
