# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  O16  Mg24  Mg25  Mg26  Cl35  Cl37
1.011646E-03  1.661197E+08  2.001356E+06  2.510662E+05  7.173320E+03  5.021324E+04  3.292554E+06  8.390034E+03
1.035211E-03  1.603125E+08  1.717459E+06  2.032910E+05  7.010035E+03  5.608028E+04  3.764389E+06  9.370347E+03
1.059324E-03  1.561427E+08  1.726318E+06  3.356729E+05  2.740187E+04  4.110280E+04  3.432084E+06  6.867789E+03
1.083999E-03  1.538738E+08  1.687022E+06  2.276141E+05  1.338906E+04  4.016719E+04  3.574880E+06  6.711459E+03
1.109248E-03  1.499656E+08  1.786006E+06  2.355172E+05  2.616858E+04  5.887931E+04  3.303784E+06  9.838032E+03
1.135086E-03  1.453884E+08  1.783711E+06  3.452343E+05  1.917968E+04  3.835937E+04  3.465130E+06  6.409394E+03
1.161526E-03  1.441095E+08  1.768099E+06  2.873942E+05  6.247701E+03  3.123850E+04  3.361263E+06  5.219582E+03
1.188581E-03  1.409757E+08  1.862173E+06  3.480127E+05  1.221097E+04  1.221097E+04  3.089376E+06  2.040308E+03
1.216267E-03  1.376414E+08  1.712388E+06  2.386603E+05  1.789952E+04  2.983254E+04  3.013086E+06  4.984662E+03
1.244597E-03  1.333363E+08  1.830838E+06  3.323495E+05  1.166139E+04  3.498416E+04  2.927008E+06  5.845437E+03
1.273587E-03  1.307171E+08  1.897424E+06  2.848985E+05  1.709391E+04  3.988579E+04  2.985737E+06  6.664441E+03
1.303253E-03  1.275635E+08  1.904348E+06  3.285279E+05  2.227308E+04  1.113654E+04  2.923341E+06  1.860783E+03
1.333610E-03  1.257644E+08  1.997038E+06  3.047251E+05  2.176608E+04  2.176608E+04  2.557514E+06  3.636853E+03
1.364674E-03  1.222795E+08  1.722920E+06  2.499298E+05  1.063531E+04  2.127062E+04  2.860899E+06  3.554068E+03
1.396461E-03  1.198858E+08  1.772044E+06  2.546339E+05  4.676950E+04  2.078644E+04  2.878923E+06  3.473167E+03
1.428989E-03  1.157553E+08  1.767256E+06  2.183678E+05  1.523497E+04  3.554825E+04  2.635649E+06  5.939689E+03
1.462274E-03  1.140930E+08  1.960276E+06  2.530990E+05  1.488817E+04  1.985090E+04  2.734461E+06  3.316849E+03
1.496335E-03  1.106521E+08  1.896256E+06  2.909856E+05  4.849760E+03  1.939904E+04  2.463678E+06  3.241348E+03
1.531189E-03  1.097211E+08  1.800959E+06  2.985800E+05  2.369683E+04  2.843619E+04  2.364943E+06  4.751349E+03
