# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  B10  B11  O16  Na23
1.011646E-03  5.059692E+08  2.185235E+05  1.617074E+06  8.391301E+06  9.833556E+05
1.035211E-03  4.886648E+08  1.281296E+05  1.964653E+06  8.969069E+06  1.025036E+06
1.059324E-03  4.817987E+08  1.252130E+05  1.919932E+06  1.037181E+07  1.106048E+06
1.083999E-03  4.708520E+08  8.157519E+04  2.182136E+06  9.319965E+06  9.992960E+05
1.109248E-03  4.606522E+08  2.590845E+05  1.773732E+06  8.649436E+06  1.036338E+06
1.135086E-03  4.440121E+08  1.558074E+05  1.986544E+06  9.017353E+06  1.304887E+06
1.161526E-03  4.421082E+08  1.712934E+05  1.789064E+06  8.602734E+06  1.160988E+06
1.188581E-03  4.292361E+08  2.603911E+05  1.859936E+06  8.518508E+06  9.671669E+05
1.216267E-03  4.183568E+08  2.726399E+05  2.326527E+06  9.542395E+06  7.997436E+05
1.244597E-03  4.121553E+08  1.243358E+05  2.291331E+06  9.183085E+06  1.207833E+06
1.273587E-03  3.989722E+08  2.082952E+05  1.822583E+06  8.817831E+06  9.026127E+05
1.303253E-03  3.939276E+08  1.696282E+05  1.713245E+06  9.125998E+06  1.238286E+06
1.333610E-03  3.817780E+08  1.989204E+05  2.055511E+06  9.697370E+06  1.226676E+06
1.364674E-03  3.711437E+08  1.133956E+05  2.203114E+06  8.456070E+06  1.312149E+06
1.396461E-03  3.620781E+08  1.266450E+05  1.646385E+06  9.482545E+06  1.250619E+06
1.428989E-03  3.578894E+08  1.392325E+05  1.887374E+06  8.864469E+06  1.206682E+06
1.462274E-03  3.492742E+08  1.360632E+05  1.980475E+06  9.433713E+06  1.254805E+06
1.496335E-03  3.381178E+08  2.068360E+05  1.979716E+06  9.041688E+06  1.093276E+06
1.531189E-03  3.311143E+08  5.775081E+04  1.977965E+06  8.864749E+06  1.183892E+06
1.566855E-03  3.222933E+08  1.975268E+05  1.678978E+06  8.733508E+06  1.241597E+06
1.603352E-03  3.178524E+08  1.654548E+05  1.806215E+06  8.879407E+06  9.237892E+05
1.640699E-03  3.057396E+08  2.425329E+05  1.805522E+06  9.068034E+06  9.297093E+05
1.678915E-03  3.037179E+08  2.633468E+05  2.146277E+06  8.861620E+06  1.171893E+06
1.718022E-03  2.946041E+08  1.544114E+05  1.775731E+06  9.251816E+06  1.029409E+06
1.758040E-03  2.891932E+08  2.137701E+05  1.848483E+06  8.890322E+06  1.119149E+06
1.798990E-03  2.806934E+08  1.966156E+05  2.039887E+06  9.118050E+06  9.585012E+05
1.840894E-03  2.752047E+08  2.281664E+05  1.885375E+06  9.294778E+06  9.607006E+05
1.883774E-03  2.700786E+08  1.995019E+05  1.654692E+06  9.071468E+06  1.103128E+06
1.927653E-03  2.620845E+08  2.064289E+05  1.766114E+06  9.163151E+06  8.257158E+05
1.972553E-03  2.582817E+08  1.569011E+05  2.039715E+06  9.548555E+06  9.750285E+05
2.018500E-03  2.534539E+08  2.190423E+05  1.960429E+06  9.287395E+06  1.117116E+06
2.065517E-03  2.452764E+08  1.498394E+05  2.226186E+06  9.075988E+06  7.813056E+05
2.113629E-03  2.410843E+08  2.196430E+05  1.725766E+06  9.141333E+06  7.112250E+05
2.162862E-03  2.391535E+08  1.942011E+05  1.911348E+06  8.718607E+06  6.950355E+05
2.213241E-03  2.330805E+08  2.297343E+05  1.867840E+06  9.688796E+06  7.091799E+05
