# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Mg24  Mg25  Mg26  P31  Fe54  Fe56  Fe57
1.011646E-03  3.817116E+06  5.317458E+05  6.380949E+04  0.000000E+00  3.272282E+03  3.272282E+04  0.000000E+00  0.000000E+00  0.000000E+00
1.035211E-03  3.720635E+06  5.612131E+05  3.997244E+04  1.598898E+03  4.796693E+03  4.157134E+04  0.000000E+00  0.000000E+00  0.000000E+00
1.059324E-03  3.885943E+06  5.218758E+05  4.062506E+04  3.125005E+03  3.125005E+03  4.375007E+04  0.000000E+00  0.000000E+00  0.000000E+00
1.083999E-03  3.705872E+06  5.634392E+05  4.733500E+04  4.580806E+03  4.580806E+03  3.664645E+04  0.000000E+00  0.000000E+00  0.000000E+00
1.109248E-03  3.785656E+06  5.640433E+05  4.625752E+04  0.000000E+00  4.476534E+03  3.432010E+04  0.000000E+00  0.000000E+00  0.000000E+00
1.135086E-03  3.886135E+06  5.351638E+05  5.978669E+04  1.458212E+03  0.000000E+00  3.937172E+04  0.000000E+00  0.000000E+00  0.000000E+00
1.161526E-03  3.780576E+06  4.973317E+05  4.987567E+04  2.850038E+03  1.425019E+03  4.560061E+04  0.000000E+00  1.425019E+03  0.000000E+00
1.188581E-03  3.687556E+06  6.127359E+05  5.570327E+04  5.570327E+03  4.177745E+03  4.734778E+04  0.000000E+00  0.000000E+00  0.000000E+00
1.216267E-03  3.765562E+06  5.484357E+05  4.490913E+04  1.360883E+03  6.804413E+03  3.946560E+04  0.000000E+00  1.360883E+03  0.000000E+00
1.244597E-03  3.871354E+06  5.372817E+05  4.388687E+04  1.329905E+03  2.659810E+03  3.324763E+04  0.000000E+00  0.000000E+00  0.000000E+00
1.273587E-03  3.849512E+06  5.640406E+05  5.068568E+04  2.599266E+03  5.198531E+03  4.548715E+04  0.000000E+00  0.000000E+00  0.000000E+00
1.303253E-03  3.695844E+06  5.664421E+05  3.683144E+04  2.540099E+03  5.080198E+03  2.540099E+04  0.000000E+00  0.000000E+00  0.000000E+00
1.333610E-03  3.907108E+06  5.895414E+05  3.723419E+04  1.241140E+03  3.723419E+03  3.599305E+04  0.000000E+00  0.000000E+00  0.000000E+00
1.364674E-03  3.924905E+06  5.555027E+05  5.579284E+04  1.212888E+03  2.425776E+03  3.396086E+04  0.000000E+00  0.000000E+00  0.000000E+00
1.396461E-03  3.775114E+06  4.907056E+05  5.570812E+04  4.741117E+03  8.296955E+03  3.911421E+04  0.000000E+00  0.000000E+00  0.000000E+00
