# Er [keV]  dR/dEr 12C [1/keV/kg/Myr]  13C
1.012E-03  4.935E+09  6.946E+07
1.035E-03  4.940E+09  6.807E+07
1.059E-03  4.926E+09  6.904E+07
1.084E-03  4.946E+09  6.975E+07
1.109E-03  4.950E+09  6.433E+07
1.135E-03  4.936E+09  6.896E+07
1.162E-03  4.977E+09  6.918E+07
1.189E-03  4.939E+09  6.976E+07
1.216E-03  4.933E+09  7.078E+07
1.245E-03  4.938E+09  6.639E+07
1.274E-03  4.941E+09  6.697E+07
1.303E-03  4.954E+09  7.311E+07
1.334E-03  4.935E+09  6.522E+07
1.365E-03  4.953E+09  6.634E+07
1.396E-03  4.941E+09  6.773E+07
1.429E-03  4.918E+09  6.605E+07
1.462E-03  4.947E+09  6.901E+07
1.496E-03  4.934E+09  6.882E+07
1.531E-03  4.958E+09  6.752E+07
1.567E-03  4.952E+09  6.945E+07
1.603E-03  4.954E+09  6.737E+07
1.641E-03  4.950E+09  6.626E+07
1.679E-03  4.970E+09  7.294E+07
1.718E-03  4.966E+09  6.898E+07
1.758E-03  4.965E+09  6.932E+07
1.799E-03  4.924E+09  6.790E+07
1.841E-03  4.961E+09  6.953E+07
1.884E-03  4.953E+09  6.857E+07
1.928E-03  4.932E+09  6.645E+07
1.973E-03  4.934E+09  6.995E+07
2.019E-03  4.931E+09  7.124E+07
2.066E-03  4.937E+09  7.005E+07
2.114E-03  4.928E+09  6.705E+07
2.163E-03  4.964E+09  6.827E+07
2.213E-03  4.931E+09  6.685E+07
2.265E-03  4.944E+09  6.912E+07
2.318E-03  4.948E+09  6.815E+07
2.372E-03  4.930E+09  6.985E+07
2.427E-03  4.952E+09  6.724E+07
2.483E-03  4.959E+09  6.806E+07
2.541E-03  4.951E+09  6.694E+07
2.600E-03  4.958E+09  6.819E+07
2.661E-03  4.934E+09  6.797E+07
2.723E-03  4.941E+09  6.599E+07
2.786E-03  4.930E+09  6.399E+07
2.851E-03  4.927E+09  6.378E+07
2.918E-03  4.838E+09  6.450E+07
2.986E-03  4.736E+09  6.088E+07
3.055E-03  4.605E+09  5.988E+07
3.126E-03  4.554E+09  5.890E+07
3.199E-03  4.428E+09  5.688E+07
3.274E-03  4.311E+09  5.600E+07
3.350E-03  4.234E+09  5.476E+07
3.428E-03  4.140E+09  5.291E+07
3.508E-03  4.038E+09  5.128E+07
3.589E-03  3.953E+09  5.116E+07
3.673E-03  3.862E+09  5.131E+07
3.759E-03  3.756E+09  4.894E+07
3.846E-03  3.676E+09  4.669E+07
3.936E-03  3.574E+09  4.666E+07
4.027E-03  3.505E+09  4.567E+07
4.121E-03  3.432E+09  4.609E+07
4.217E-03  3.342E+09  4.251E+07
4.315E-03  3.276E+09  4.209E+07
4.416E-03  3.203E+09  4.293E+07
4.519E-03  3.137E+09  3.952E+07
4.624E-03  3.067E+09  3.941E+07
4.732E-03  2.992E+09  3.837E+07
4.842E-03  2.922E+09  3.596E+07
4.955E-03  2.857E+09  3.650E+07
5.070E-03  2.796E+09  3.559E+07
5.188E-03  2.725E+09  3.530E+07
5.309E-03  2.658E+09  3.518E+07
5.433E-03  2.603E+09  3.174E+07
5.559E-03  2.537E+09  3.168E+07
5.689E-03  2.492E+09  3.178E+07
5.821E-03  2.421E+09  3.258E+07
5.957E-03  2.377E+09  3.038E+07
6.096E-03  2.306E+09  3.051E+07
6.238E-03  2.276E+09  3.018E+07
6.383E-03  2.208E+09  2.741E+07
6.532E-03  2.157E+09  2.719E+07
6.684E-03  2.116E+09  2.724E+07
6.840E-03  2.064E+09  2.621E+07
6.999E-03  2.029E+09  2.668E+07
7.162E-03  1.976E+09  2.532E+07
7.329E-03  1.922E+09  2.515E+07
7.499E-03  1.882E+09  2.338E+07
7.674E-03  1.845E+09  2.401E+07
7.853E-03  1.803E+09  2.313E+07
8.036E-03  1.760E+09  2.220E+07
8.223E-03  1.725E+09  2.262E+07
8.415E-03  1.685E+09  2.233E+07
8.611E-03  1.645E+09  2.084E+07
8.811E-03  1.600E+09  2.038E+07
9.016E-03  1.578E+09  2.071E+07
9.226E-03  1.532E+09  1.935E+07
9.441E-03  1.496E+09  1.915E+07
9.661E-03  1.466E+09  1.849E+07
9.886E-03  1.429E+09  1.796E+07
1.012E-02  1.396E+09  1.827E+07
1.035E-02  1.370E+09  1.747E+07
1.059E-02  1.335E+09  1.788E+07
1.084E-02  1.301E+09  1.699E+07
1.109E-02  1.274E+09  1.648E+07
1.135E-02  1.246E+09  1.577E+07
1.162E-02  1.222E+09  1.601E+07
1.189E-02  1.187E+09  1.528E+07
1.216E-02  1.162E+09  1.542E+07
1.245E-02  1.137E+09  1.443E+07
1.274E-02  1.109E+09  1.450E+07
1.303E-02  1.084E+09  1.389E+07
1.334E-02  1.056E+09  1.349E+07
1.365E-02  1.039E+09  1.266E+07
1.396E-02  1.013E+09  1.339E+07
1.429E-02  9.844E+08  1.270E+07
1.462E-02  9.627E+08  1.274E+07
1.496E-02  9.444E+08  1.227E+07
1.531E-02  9.262E+08  1.162E+07
1.567E-02  9.053E+08  1.168E+07
1.603E-02  8.830E+08  1.148E+07
1.641E-02  8.602E+08  1.128E+07
1.679E-02  8.410E+08  1.093E+07
1.718E-02  8.242E+08  1.083E+07
1.758E-02  8.051E+08  1.024E+07
1.799E-02  7.896E+08  1.008E+07
1.841E-02  7.610E+08  9.873E+06
1.884E-02  7.511E+08  9.533E+06
1.928E-02  7.340E+08  9.219E+06
1.973E-02  7.190E+08  9.395E+06
2.019E-02  7.055E+08  9.279E+06
2.066E-02  6.857E+08  8.933E+06
2.114E-02  6.656E+08  8.295E+06
2.163E-02  6.543E+08  8.394E+06
2.213E-02  6.386E+08  8.516E+06
2.265E-02  6.223E+08  8.008E+06
2.318E-02  6.097E+08  7.962E+06
2.372E-02  5.981E+08  7.481E+06
2.427E-02  5.821E+08  7.563E+06
2.483E-02  5.718E+08  7.438E+06
2.541E-02  5.575E+08  7.254E+06
2.600E-02  5.446E+08  6.997E+06
2.661E-02  5.299E+08  6.623E+06
2.723E-02  5.196E+08  6.817E+06
2.786E-02  5.098E+08  6.857E+06
2.851E-02  4.947E+08  6.333E+06
