# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  12C  13C
1.012E-03  1.243E+07  1.509E+06  2.705E+04
1.035E-03  1.262E+07  1.406E+06  1.586E+04
1.059E-03  1.276E+07  1.302E+06  5.167E+03
1.084E-03  1.248E+07  1.247E+06  2.020E+04
1.109E-03  1.244E+07  1.386E+06  1.480E+04
1.135E-03  1.318E+07  1.413E+06  4.822E+04
1.162E-03  1.280E+07  1.569E+06  3.770E+04
1.189E-03  1.252E+07  1.368E+06  2.302E+04
1.216E-03  1.257E+07  1.480E+06  1.800E+04
1.245E-03  1.232E+07  1.425E+06  1.759E+04
1.274E-03  1.247E+07  1.302E+06  1.719E+04
1.303E-03  1.271E+07  1.302E+06  1.680E+04
1.334E-03  1.241E+07  1.535E+06  4.104E+04
1.365E-03  1.266E+07  1.384E+06  2.005E+04
1.396E-03  1.300E+07  1.509E+06  1.960E+04
1.429E-03  1.246E+07  1.325E+06  2.298E+04
1.462E-03  1.288E+07  1.344E+06  1.871E+04
1.496E-03  1.270E+07  1.353E+06  1.463E+04
1.531E-03  1.261E+07  1.405E+06  1.787E+04
1.567E-03  1.232E+07  1.362E+06  2.096E+04
1.603E-03  1.251E+07  1.464E+06  1.707E+04
1.641E-03  1.259E+07  1.411E+06  2.001E+04
1.679E-03  1.261E+07  1.451E+06  2.608E+04
1.718E-03  1.234E+07  1.462E+06  1.593E+04
1.758E-03  1.241E+07  1.445E+06  9.339E+03
1.799E-03  1.258E+07  1.402E+06  1.521E+04
1.841E-03  1.239E+07  1.484E+06  1.487E+04
1.884E-03  1.247E+07  1.412E+06  2.905E+03
1.928E-03  1.266E+07  1.309E+06  1.136E+04
1.973E-03  1.253E+07  1.379E+06  1.665E+04
2.019E-03  1.235E+07  1.472E+06  1.898E+04
2.066E-03  1.232E+07  1.391E+06  1.325E+04
2.114E-03  1.267E+07  1.302E+06  2.848E+04
2.163E-03  1.249E+07  1.389E+06  2.277E+04
2.213E-03  1.265E+07  1.313E+06  2.473E+04
2.265E-03  1.246E+07  1.411E+06  2.417E+04
2.318E-03  1.243E+07  1.358E+06  2.362E+04
2.372E-03  1.256E+07  1.445E+06  1.385E+04
2.427E-03  1.234E+07  1.407E+06  2.932E+04
2.483E-03  1.263E+07  1.349E+06  2.645E+04
2.541E-03  1.242E+07  1.348E+06  1.938E+04
2.600E-03  1.282E+07  1.429E+06  1.894E+04
2.661E-03  1.244E+07  1.308E+06  3.085E+04
2.723E-03  1.229E+07  1.439E+06  2.010E+04
2.786E-03  1.246E+07  1.383E+06  2.357E+04
2.851E-03  1.257E+07  1.428E+06  1.152E+04
2.918E-03  1.255E+07  1.345E+06  1.313E+04
2.986E-03  1.277E+07  1.340E+06  9.166E+03
3.055E-03  1.209E+07  1.310E+06  1.971E+04
3.126E-03  1.270E+07  1.339E+06  8.753E+03
3.199E-03  1.256E+07  1.213E+06  1.198E+04
3.274E-03  1.248E+07  1.207E+06  1.337E+04
3.350E-03  1.247E+07  1.238E+06  2.287E+04
3.428E-03  1.267E+07  1.193E+06  1.118E+04
3.508E-03  1.265E+07  1.159E+06  1.560E+04
3.589E-03  1.257E+07  1.122E+06  1.982E+04
3.673E-03  1.271E+07  1.061E+06  1.639E+04
3.759E-03  1.253E+07  1.070E+06  1.893E+04
3.846E-03  1.281E+07  1.027E+06  1.565E+04
3.936E-03  1.277E+07  9.748E+05  1.391E+04
