# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Na23  S32  S34
1.011646E-03  1.461981E+08  2.257321E+06  3.115739E+05  8.266247E+04  0.000000E+00
1.035211E-03  1.445480E+08  2.168655E+06  3.044816E+05  1.864173E+04  0.000000E+00
1.059324E-03  1.382154E+08  2.204305E+06  3.096957E+05  4.250725E+04  0.000000E+00
1.083999E-03  1.377871E+08  2.272813E+06  3.679228E+05  4.747391E+04  0.000000E+00
1.109248E-03  1.337924E+08  2.192082E+06  3.305521E+05  5.219243E+04  0.000000E+00
1.135086E-03  1.307016E+08  2.034508E+06  3.286949E+05  4.533723E+04  0.000000E+00
1.161526E-03  1.281972E+08  2.342639E+06  3.489037E+05  3.876708E+04  0.000000E+00
1.188581E-03  1.249868E+08  2.121539E+06  2.814287E+05  4.329672E+04  0.000000E+00
1.216267E-03  1.217081E+08  2.168447E+06  2.803115E+05  4.231117E+04  0.000000E+00
1.244597E-03  1.196406E+08  2.196615E+06  2.997733E+05  4.651655E+04  0.000000E+00
1.273587E-03  1.162455E+08  2.262784E+06  3.232548E+05  3.535599E+04  0.000000E+00
1.303253E-03  1.133723E+08  2.087879E+06  2.912172E+05  5.429473E+04  0.000000E+00
1.333610E-03  1.106952E+08  2.247765E+06  2.411765E+05  5.305883E+04  0.000000E+00
1.364674E-03  1.079351E+08  1.989195E+06  3.158201E+05  5.185107E+04  0.000000E+00
1.396461E-03  1.048609E+08  2.045257E+06  3.500891E+05  4.606436E+04  0.000000E+00
1.428989E-03  1.036219E+08  2.160759E+06  3.241138E+05  6.302213E+04  0.000000E+00
1.462274E-03  1.011972E+08  2.247946E+06  2.771440E+05  3.959201E+04  0.000000E+00
1.496335E-03  9.823160E+07  2.102199E+06  3.138252E+05  7.738157E+04  0.000000E+00
1.531189E-03  9.750378E+07  2.134169E+06  3.066817E+05  5.881567E+04  0.000000E+00
1.566855E-03  9.495999E+07  2.081483E+06  3.202282E+05  3.284392E+04  0.000000E+00
1.603352E-03  9.123374E+07  2.310934E+06  2.968908E+05  5.215649E+04  0.000000E+00
1.640699E-03  9.008621E+07  2.234806E+06  3.136570E+05  2.352428E+04  0.000000E+00
1.678915E-03  8.769077E+07  2.191599E+06  3.026858E+05  3.831466E+04  0.000000E+00
1.718022E-03  8.566847E+07  2.167922E+06  3.032844E+05  3.369826E+04  0.000000E+00
1.758040E-03  8.454536E+07  2.239321E+06  2.524725E+05  4.756728E+04  0.000000E+00
1.798990E-03  8.271384E+07  2.056046E+06  3.039373E+05  2.860586E+04  0.000000E+00
1.840894E-03  8.125037E+07  2.065154E+06  1.956830E+05  4.892074E+04  0.000000E+00
1.883774E-03  7.849937E+07  2.260596E+06  2.561098E+05  2.048879E+04  0.000000E+00
1.927653E-03  7.739327E+07  2.332610E+06  3.103473E+05  2.335947E+04  0.000000E+00
1.972553E-03  7.476413E+07  2.194725E+06  2.706719E+05  1.956664E+04  0.000000E+00
2.018500E-03  7.324076E+07  2.112898E+06  2.230812E+05  6.373750E+03  0.000000E+00
2.065517E-03  7.099121E+07  2.232977E+06  1.962030E+05  3.425766E+04  0.000000E+00
2.113629E-03  6.997482E+07  2.203452E+06  3.013007E+05  2.739098E+04  0.000000E+00
2.162862E-03  6.914635E+07  2.299029E+06  2.468557E+05  2.974165E+04  0.000000E+00
2.213241E-03  6.699400E+07  2.113000E+06  1.889202E+05  2.034525E+04  0.000000E+00
2.264794E-03  6.545483E+07  2.329050E+06  2.329050E+05  2.272244E+04  0.000000E+00
2.317548E-03  6.390661E+07  2.189989E+06  2.664626E+05  2.498087E+04  0.000000E+00
2.371531E-03  6.145644E+07  2.064190E+06  2.522597E+05  1.627482E+04  0.000000E+00
2.426771E-03  6.074141E+07  2.006600E+06  2.041060E+05  2.385654E+04  0.000000E+00
2.483298E-03  6.025504E+07  1.947973E+06  1.839176E+05  2.590389E+04  0.000000E+00
2.541141E-03  5.837465E+07  1.903631E+06  2.404853E+05  1.771997E+04  0.000000E+00
2.600332E-03  5.694693E+07  1.897406E+06  1.731662E+05  2.968563E+04  0.000000E+00
2.660901E-03  5.586098E+07  1.963003E+06  2.224092E+05  1.933993E+04  0.000000E+00
2.722882E-03  5.549898E+07  1.719873E+06  2.031718E+05  2.362463E+04  0.000000E+00
2.786306E-03  5.306055E+07  1.766145E+06  1.870036E+05  2.539555E+04  0.000000E+00
2.851207E-03  5.177152E+07  1.766553E+06  1.759785E+05  2.481748E+04  0.000000E+00
2.917620E-03  5.066581E+07  1.609488E+06  1.499250E+05  3.307168E+04  0.000000E+00
2.985580E-03  4.949097E+07  1.648263E+06  1.809857E+05  1.292755E+04  0.000000E+00
3.055124E-03  4.864235E+07  1.541261E+06  1.684438E+05  2.105547E+04  0.000000E+00
3.126287E-03  4.687462E+07  1.572021E+06  1.481486E+05  3.086429E+04  0.000000E+00
3.199107E-03  4.613941E+07  1.415591E+06  1.709165E+05  1.407547E+04  0.000000E+00
3.273624E-03  4.551752E+07  1.461968E+06  1.434458E+05  1.375508E+04  0.000000E+00
3.349876E-03  4.457167E+07  1.424849E+06  1.555428E+05  1.344197E+04  0.000000E+00
3.427905E-03  4.369408E+07  1.520023E+06  1.426194E+05  1.125943E+04  0.000000E+00
3.507751E-03  4.248492E+07  1.485423E+06  1.430407E+05  9.169275E+03  0.000000E+00
3.589457E-03  4.157519E+07  1.460571E+06  1.397847E+05  1.792111E+04  0.000000E+00
3.673066E-03  4.039765E+07  1.346764E+06  1.506133E+05  2.101582E+04  0.000000E+00
3.758623E-03  3.929325E+07  1.266475E+06  1.454735E+05  1.369162E+04  0.000000E+00
3.846173E-03  3.849583E+07  1.302874E+06  1.421621E+05  2.341494E+04  0.000000E+00
3.935762E-03  3.748390E+07  1.332056E+06  1.503671E+05  1.470983E+04  0.000000E+00
4.027437E-03  3.687504E+07  1.252221E+06  1.149999E+05  1.756943E+04  0.000000E+00
4.121248E-03  3.593265E+07  1.122261E+06  9.989528E+04  9.365183E+03  0.000000E+00
4.217245E-03  3.537250E+07  1.130273E+06  1.052481E+05  1.372801E+04  0.000000E+00
4.315477E-03  3.434820E+07  1.149263E+06  1.237209E+05  5.962453E+03  0.000000E+00
4.415997E-03  3.415630E+07  1.128929E+06  1.107079E+05  1.165346E+04  0.000000E+00
4.518859E-03  3.315389E+07  1.170137E+06  1.395054E+05  1.138820E+04  0.000000E+00
4.624117E-03  3.199579E+07  1.061426E+06  1.154631E+05  1.112897E+04  0.000000E+00
4.731826E-03  3.088683E+07  1.071251E+06  1.128348E+05  9.516189E+03  0.000000E+00
4.842045E-03  3.053980E+07  1.057494E+06  1.102664E+05  1.195659E+04  0.000000E+00
4.954830E-03  2.979140E+07  1.064581E+06  1.324235E+05  1.557924E+04  0.000000E+00
5.070243E-03  2.909043E+07  9.477321E+05  1.294092E+05  1.395590E+04  0.000000E+00
5.188344E-03  2.858943E+07  9.472364E+05  1.053862E+05  7.439029E+03  0.000000E+00
5.309196E-03  2.787565E+07  9.293095E+05  1.114687E+05  7.269696E+03  0.000000E+00
5.432863E-03  2.694867E+07  8.832911E+05  1.101154E+05  1.065633E+04  0.000000E+00
5.559411E-03  2.671939E+07  8.620278E+05  9.256675E+04  1.157084E+04  0.000000E+00
5.688906E-03  2.588843E+07  8.593669E+05  9.498265E+04  1.809193E+04  0.000000E+00
5.821418E-03  2.543505E+07  9.138407E+05  9.282058E+04  8.840056E+03  0.000000E+00
5.957016E-03  2.501050E+07  7.861337E+05  1.069055E+05  6.479124E+03  0.000000E+00
6.095773E-03  2.455094E+07  8.822086E+05  1.023615E+05  8.442188E+03  0.000000E+00
6.237762E-03  2.377140E+07  7.590018E+05  7.115642E+04  1.443753E+04  0.000000E+00
6.383058E-03  2.311944E+07  7.840515E+05  8.868449E+04  7.054448E+03  0.000000E+00
6.531738E-03  2.282265E+07  7.721134E+05  8.174159E+04  7.878708E+03  0.000000E+00
6.683882E-03  2.255144E+07  7.689742E+05  7.603124E+04  6.736946E+03  0.000000E+00
6.839570E-03  2.174561E+07  7.392436E+05  7.241954E+04  1.504822E+04  0.000000E+00
6.998884E-03  2.099051E+07  7.086298E+05  7.352838E+04  9.191047E+03  0.000000E+00
7.161909E-03  2.068786E+07  7.014812E+05  8.532742E+04  8.981834E+03  0.000000E+00
7.328731E-03  2.025908E+07  6.837581E+05  5.529751E+04  1.141060E+04  0.000000E+00
7.499439E-03  1.948656E+07  6.630473E+05  7.119395E+04  6.862068E+03  0.000000E+00
7.674123E-03  1.919974E+07  6.395722E+05  6.286751E+04  9.220568E+03  0.000000E+00
7.852877E-03  1.898551E+07  6.258329E+05  5.652155E+04  4.914918E+03  0.000000E+00
8.035794E-03  1.843167E+07  6.147892E+05  6.564156E+04  8.005068E+03  0.000000E+00
8.222971E-03  1.800038E+07  5.992303E+05  6.805880E+04  6.258280E+03  0.000000E+00
8.414509E-03  1.745303E+07  6.123469E+05  7.568332E+04  9.938214E+03  0.000000E+00
8.610508E-03  1.722982E+07  5.812254E+05  6.126026E+04  6.723687E+03  0.000000E+00
8.811073E-03  1.660765E+07  5.636147E+05  6.570638E+04  8.030779E+03  0.000000E+00
9.016309E-03  1.634305E+07  5.094050E+05  6.777798E+04  6.421072E+03  0.000000E+00
9.226326E-03  1.581068E+07  5.696224E+05  5.926304E+04  7.669335E+03  0.000000E+00
9.441234E-03  1.562249E+07  5.457548E+05  5.518868E+04  8.857443E+03  0.000000E+00
9.661149E-03  1.527020E+07  5.166860E+05  5.393243E+04  7.324158E+03  0.000000E+00
9.886186E-03  1.502932E+07  4.964660E+05  4.684870E+04  7.157440E+03  0.000000E+00
1.011646E-02  1.450726E+07  5.163225E+05  5.532027E+04  6.358651E+03  0.000000E+00
1.035211E-02  1.409750E+07  5.145118E+05  6.151772E+04  6.213911E+03  0.000000E+00
1.059324E-02  1.404865E+07  4.936914E+05  5.465218E+04  5.465218E+03  0.000000E+00
1.083999E-02  1.350751E+07  4.545627E+05  5.934239E+04  4.153967E+03  0.000000E+00
1.109248E-02  1.329167E+07  4.569737E+05  4.697319E+04  7.538907E+03  0.000000E+00
1.135086E-02  1.293755E+07  4.409046E+05  4.930424E+04  5.667154E+03  0.000000E+00
1.161526E-02  1.269622E+07  4.330836E+05  4.928957E+04  4.984338E+03  0.000000E+00
1.188581E-02  1.237691E+07  4.529919E+05  5.736815E+04  5.953299E+03  0.000000E+00
1.216267E-02  1.204440E+07  4.056583E+05  4.601339E+04  5.817785E+03  0.000000E+00
1.244597E-02  1.177954E+07  4.114131E+05  5.065136E+04  4.134805E+03  0.000000E+00
1.273587E-02  1.155232E+07  3.904312E+05  4.545771E+04  8.586456E+03  0.000000E+00
1.303253E-02  1.110179E+07  3.706849E+05  4.244861E+04  2.961531E+03  0.000000E+00
1.333610E-02  1.104251E+07  3.979412E+05  4.678824E+04  5.305883E+03  0.000000E+00
1.364674E-02  1.086421E+07  3.770987E+05  4.289497E+04  7.541973E+03  0.000000E+00
1.396461E-02  1.045845E+07  3.385730E+05  4.652500E+04  7.370297E+03  0.000000E+00
1.428989E-02  1.046032E+07  3.659785E+05  4.006407E+04  5.852054E+03  0.000000E+00
1.462274E-02  9.986864E+06  3.532487E+05  3.827227E+04  6.158757E+03  0.000000E+00
1.496335E-02  9.810693E+06  3.542356E+05  3.869078E+04  2.149488E+03  0.000000E+00
1.531189E-02  9.607119E+06  3.339890E+05  3.570951E+04  3.360895E+03  0.000000E+00
1.566855E-02  9.307146E+06  3.247443E+05  3.325447E+04  6.979333E+03  0.000000E+00
1.603352E-02  9.195189E+06  3.293883E+05  3.650954E+04  3.610834E+03  0.000000E+00
1.640699E-02  9.014894E+06  3.305161E+05  3.254191E+04  5.488998E+03  0.000000E+00
1.678915E-02  8.756816E+06  2.946398E+05  3.601578E+04  4.214613E+03  0.000000E+00
1.718022E-02  8.686289E+06  3.021611E+05  4.343332E+04  5.616377E+03  0.000000E+00
1.758040E-02  8.375501E+06  3.099192E+05  3.988334E+04  2.927218E+03  0.000000E+00
1.798990E-02  8.199512E+06  2.910646E+05  3.647247E+04  4.290879E+03  0.000000E+00
1.840894E-02  8.022652E+06  2.634731E+05  2.970188E+04  3.494339E+03  0.000000E+00
1.883774E-02  7.882720E+06  2.615735E+05  3.073318E+04  3.756278E+03  0.000000E+00
1.927653E-02  7.629538E+06  2.843182E+05  3.136844E+04  1.668534E+03  0.000000E+00
1.972553E-02  7.458477E+06  2.670846E+05  3.587217E+04  4.239439E+03  0.000000E+00
2.018500E-02  7.332043E+06  2.635545E+05  3.601169E+04  3.186875E+03  0.000000E+00
2.065517E-02  7.196600E+06  2.612925E+05  3.020903E+04  4.671499E+03  0.000000E+00
2.113629E-02  6.955786E+06  2.477362E+05  2.830401E+04  2.130409E+03  0.000000E+00
2.162862E-02  6.784070E+06  2.426918E+05  3.063390E+04  2.081915E+03  0.000000E+00
2.213241E-02  6.665685E+06  2.400740E+05  2.703012E+04  4.069050E+03  0.000000E+00
2.264794E-02  6.550880E+06  2.178514E+05  2.158632E+04  3.692397E+03  0.000000E+00
2.317548E-02  6.435349E+06  2.189989E+05  2.886678E+04  3.053217E+03  0.000000E+00
2.371531E-02  6.160834E+06  2.259488E+05  2.142852E+04  1.627482E+03  0.000000E+00
2.426771E-02  6.106745E+06  2.125883E+05  2.279625E+04  3.445945E+03  0.000000E+00
2.483298E-02  5.931991E+06  2.105986E+05  2.227735E+04  2.590389E+03  0.000000E+00
2.541141E-02  5.772914E+06  2.065643E+05  2.708624E+04  2.784567E+03  0.000000E+00
2.600332E-02  5.702362E+06  1.927092E+05  2.374850E+04  1.979042E+03  0.000000E+00
2.660901E-02  5.545001E+06  1.933993E+05  2.538366E+04  3.142739E+03  0.000000E+00
2.722882E-02  5.426105E+06  1.956119E+05  2.480586E+04  1.653724E+03  0.000000E+00
2.786306E-02  5.254802E+06  1.946223E+05  2.170166E+04  3.232161E+03  0.000000E+00
2.851207E-02  5.195427E+06  1.811676E+05  2.278696E+04  2.481748E+03  0.000000E+00
2.917620E-02  5.067243E+06  1.902724E+05  2.138635E+04  1.322867E+03  0.000000E+00
2.985580E-02  4.913331E+06  1.842176E+05  2.176138E+04  2.800969E+03  0.000000E+00
3.055124E-02  4.886975E+06  1.758132E+05  2.168714E+04  2.105547E+03  0.000000E+00
3.126287E-02  4.750631E+06  1.703709E+05  2.098772E+04  2.674905E+03  0.000000E+00
3.199107E-02  4.603887E+06  1.707154E+05  1.950459E+04  2.412939E+03  0.000000E+00
3.273624E-02  4.564328E+06  1.640784E+05  1.729210E+04  2.751016E+03  0.000000E+00
3.349876E-02  4.402631E+06  1.616877E+05  1.958688E+04  2.496367E+03  0.000000E+00
3.427905E-02  4.296785E+06  1.508763E+05  1.745211E+04  1.125943E+03  0.000000E+00
3.507751E-02  4.241523E+06  1.516598E+05  1.687147E+04  2.750783E+03  0.000000E+00
3.589457E-02  4.093899E+06  1.442650E+05  1.863796E+04  1.612900E+03  0.000000E+00
3.673066E-02  4.025755E+06  1.499128E+05  2.101582E+04  1.926450E+03  0.000000E+00
3.758623E-02  3.949349E+06  1.454735E+05  1.694339E+04  2.053744E+03  0.000000E+00
3.846173E-02  3.837374E+06  1.506919E+05  1.337997E+04  1.170747E+03  0.000000E+00
