# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Al27  Si28  Si29  Si30  K39  K41
1.011646E-03  9.255737E+07  1.209072E+07  1.496754E+06  1.685861E+06  1.207060E+05  1.046119E+05  4.651205E+06  5.632947E+04
1.035211E-03  9.086729E+07  1.133580E+07  1.317202E+06  1.596370E+06  1.179584E+05  9.829867E+04  4.694744E+06  3.538752E+04
1.059324E-03  8.823406E+07  1.128526E+07  1.394807E+06  1.648409E+06  1.229582E+05  6.916400E+04  4.491818E+06  8.069134E+04
1.083999E-03  8.572995E+07  1.122364E+07  1.291713E+06  1.633416E+06  1.314243E+05  6.383466E+04  4.408346E+06  6.383466E+04
1.109248E-03  8.469954E+07  1.103421E+07  1.302675E+06  1.537523E+06  9.907667E+04  7.705963E+04  4.513493E+06  5.871210E+04
1.135086E-03  8.175671E+07  1.136038E+07  1.233576E+06  1.685410E+06  1.434391E+05  7.889152E+04  4.353377E+06  6.096163E+04
1.161526E-03  8.040383E+07  1.175009E+07  1.240540E+06  1.829271E+06  9.812183E+04  5.606962E+04  4.198213E+06  3.504351E+04
1.188581E-03  7.812842E+07  1.163331E+07  1.335587E+06  1.702017E+06  1.095866E+05  9.931289E+04  4.030734E+06  6.164248E+04
1.216267E-03  7.661439E+07  1.146890E+07  1.275066E+06  1.703434E+06  1.070921E+05  6.693259E+04  4.240179E+06  4.685281E+04
1.244597E-03  7.443219E+07  1.131249E+07  1.210067E+06  1.690823E+06  1.242771E+05  5.559766E+04  4.074982E+06  3.597496E+04
1.273587E-03  7.302874E+07  1.120520E+07  1.326343E+06  1.808940E+06  1.502123E+05  6.711613E+04  3.569939E+06  6.711613E+04
1.303253E-03  7.294365E+07  1.116252E+07  1.321137E+06  1.717791E+06  1.124372E+05  5.934187E+04  3.504294E+06  4.684884E+04
1.333610E-03  7.070334E+07  1.133268E+07  1.217813E+06  1.599333E+06  1.037735E+05  6.409541E+04  3.662595E+06  5.799108E+04
1.364674E-03  6.782928E+07  1.146246E+07  1.291503E+06  1.583807E+06  1.461516E+05  6.561911E+04  3.686601E+06  4.474030E+04
1.396461E-03  6.734336E+07  1.106455E+07  1.270849E+06  1.664346E+06  1.078473E+05  5.538106E+04  3.451114E+06  2.914792E+04
1.428989E-03  6.615225E+07  1.175838E+07  1.264709E+06  1.543856E+06  9.399864E+04  5.696887E+04  3.529222E+06  3.702977E+04
1.462274E-03  6.402570E+07  1.145732E+07  1.252622E+06  1.567170E+06  1.252622E+05  7.794094E+04  3.231766E+06  2.505245E+04
1.496335E-03  6.210042E+07  1.149030E+07  1.264913E+06  1.479812E+06  8.704776E+04  6.800606E+04  3.242529E+06  4.624412E+04
1.531189E-03  6.077722E+07  1.160358E+07  1.172320E+06  1.427519E+06  9.304128E+04  6.114141E+04  3.083654E+06  5.050812E+04
1.566855E-03  6.036015E+07  1.153428E+07  1.137841E+06  1.488546E+06  1.246949E+05  5.715185E+04  3.270645E+06  2.078249E+04
1.603352E-03  5.845814E+07  1.134789E+07  1.210949E+06  1.386118E+06  7.616034E+04  5.585092E+04  3.023566E+06  2.792546E+04
1.640699E-03  5.757651E+07  1.149149E+07  1.213156E+06  1.419069E+06  8.435028E+04  3.969425E+04  3.019244E+06  2.977069E+04
1.678915E-03  5.648411E+07  1.117172E+07  1.115233E+06  1.362523E+06  8.727907E+04  6.545930E+04  3.035372E+06  2.909302E+04
1.718022E-03  5.435729E+07  1.116382E+07  1.040093E+06  1.314924E+06  8.292313E+04  4.975388E+04  2.779109E+06  4.264618E+04
1.758040E-03  5.292317E+07  1.134729E+07  1.023363E+06  1.266470E+06  9.955798E+04  5.093664E+04  2.734372E+06  2.778362E+04
1.798990E-03  5.245610E+07  1.167049E+07  1.006857E+06  1.291944E+06  1.018170E+05  6.109018E+04  2.672130E+06  3.846419E+04
1.840894E-03  5.086184E+07  1.139599E+07  9.839378E+05  1.171881E+06  9.949933E+04  5.527740E+04  2.602460E+06  3.095535E+04
1.883774E-03  5.001308E+07  1.131161E+07  1.009077E+06  1.149527E+06  6.050143E+04  4.753684E+04  2.629652E+06  3.025072E+04
1.927653E-03  4.839742E+07  1.141098E+07  9.966660E+05  1.178262E+06  6.545899E+04  4.856635E+04  2.567682E+06  4.012003E+04
1.972553E-03  4.718846E+07  1.168775E+07  9.574709E+05  1.223664E+06  8.873114E+04  2.888921E+04  2.542250E+06  3.714327E+04
2.018500E-03  4.611634E+07  1.145397E+07  8.812296E+05  1.143380E+06  6.049631E+04  4.234742E+04  2.397670E+06  4.234742E+04
2.065517E-03  4.510601E+07  1.116763E+07  8.651116E+05  1.040499E+06  7.291374E+04  4.926604E+04  2.421918E+06  1.970641E+04
2.113629E-03  4.392906E+07  1.115799E+07  8.762318E+05  1.113103E+06  6.740245E+04  4.044147E+04  2.368715E+06  2.310941E+04
2.162862E-03  4.322835E+07  1.138955E+07  9.146267E+05  1.021898E+06  5.645844E+04  5.645844E+04  2.307268E+06  4.328480E+04
2.213241E-03  4.247975E+07  1.163421E+07  7.834607E+05  9.673717E+05  8.275993E+04  4.229952E+04  2.431303E+06  2.206932E+04
2.264794E-03  4.170151E+07  1.140353E+07  8.842452E+05  1.020836E+06  6.649812E+04  3.774217E+04  2.135129E+06  1.976971E+04
2.317548E-03  4.052394E+07  1.100696E+07  8.711427E+05  9.449088E+05  6.498444E+04  4.390840E+04  2.107603E+06  4.039573E+04
2.371531E-03  3.973538E+07  1.098468E+07  7.517644E+05  9.577272E+05  8.581785E+04  4.119257E+04  2.140297E+06  1.373086E+04
2.426771E-03  3.857762E+07  1.048976E+07  7.380067E+05  9.443131E+05  6.373694E+04  2.348203E+04  2.006036E+06  3.522305E+04
2.483298E-03  3.793880E+07  1.034769E+07  7.490724E+05  9.326526E+05  6.064700E+04  3.933860E+04  1.968569E+06  2.294751E+04
2.541141E-03  3.728504E+07  1.010414E+07  7.672610E+05  9.018120E+05  8.329347E+04  4.004494E+04  2.005451E+06  1.601798E+04
2.600332E-03  3.589785E+07  9.622122E+06  7.576227E+05  8.546736E+05  5.791744E+04  3.913340E+04  2.016153E+06  1.878403E+04
