# Er [keV]  dR/dEr H1 [1/keV/decay]  C12  C13  O16  Na23
1.011646E-03  8.396191E+08  1.393574E+07  1.809836E+05  1.165534E+07  1.701246E+06
1.035211E-03  8.177126E+08  1.315867E+07  1.768639E+05  1.124854E+07  1.768639E+06
1.059324E-03  7.909412E+08  1.365420E+07  2.074056E+05  1.126904E+07  2.177759E+06
1.083999E-03  7.831390E+08  1.212729E+07  2.026845E+05  1.172192E+07  2.094406E+06
1.109248E-03  7.613511E+08  1.303966E+07  2.971062E+05  1.089389E+07  1.320472E+06
1.135086E-03  7.399236E+08  1.322675E+07  3.226036E+04  1.074270E+07  1.967882E+06
1.161526E-03  7.304895E+08  1.324093E+07  2.206822E+05  1.223210E+07  1.639353E+06
1.188581E-03  7.141696E+08  1.306276E+07  9.242521E+04  1.136830E+07  1.817696E+06
1.216267E-03  7.019174E+08  1.270520E+07  2.107498E+05  1.101921E+07  1.746213E+06
1.244597E-03  6.754951E+08  1.409304E+07  1.471090E+05  1.141566E+07  1.735886E+06
1.273587E-03  6.575887E+08  1.279467E+07  1.725125E+05  1.219088E+07  1.868885E+06
1.303253E-03  6.428731E+08  1.115475E+07  2.528784E+05  1.107045E+07  1.742051E+06
1.333610E-03  6.273608E+08  1.169712E+07  2.745802E+05  1.073609E+07  1.455275E+06
1.364674E-03  6.172126E+08  1.202118E+07  1.878310E+05  1.038437E+07  1.609980E+06
1.396461E-03  6.052085E+08  1.253421E+07  2.622220E+05  1.187866E+07  1.887999E+06
1.428989E-03  5.916885E+08  1.196702E+07  2.818785E+05  1.240265E+07  2.075650E+06
1.462274E-03  5.730864E+08  1.317210E+07  1.252101E+05  1.124386E+07  1.627731E+06
1.496335E-03  5.636143E+08  1.363090E+07  2.202479E+05  1.155078E+07  1.908815E+06
1.531189E-03  5.539416E+08  1.272275E+07  1.434896E+05  1.210096E+07  1.626216E+06
1.566855E-03  5.358637E+08  1.334459E+07  1.402234E+05  1.180214E+07  1.916386E+06
1.603352E-03  5.228666E+08  1.256122E+07  1.141929E+05  1.107671E+07  1.827087E+06
1.640699E-03  5.098041E+08  1.352514E+07  8.927486E+04  1.173964E+07  1.941728E+06
1.678915E-03  4.997699E+08  1.297735E+07  1.962961E+05  1.046913E+07  1.853908E+06
1.718022E-03  4.933387E+08  1.227698E+07  2.131421E+05  1.136047E+07  1.982221E+06
1.758040E-03  4.808592E+08  1.210167E+07  2.499485E+05  1.062281E+07  1.541349E+06
1.798990E-03  4.723561E+08  1.270146E+07  2.035491E+05  1.088988E+07  1.587683E+06
1.840894E-03  4.564520E+08  1.217364E+07  1.193495E+05  1.084091E+07  1.710676E+06
1.883774E-03  4.465673E+08  1.279072E+07  2.527043E+05  1.119674E+07  1.593981E+06
1.927653E-03  4.379409E+08  1.223362E+07  1.329742E+05  1.020102E+07  1.557697E+06
1.972553E-03  4.279164E+08  1.357021E+07  2.598946E+05  1.152818E+07  1.522240E+06
