# Er [keV]  dR/dEr H1 [1/keV/decay]  C12  C13  O16  Na23
1.011646E-03  4.039118E+08  1.487539E+07  1.941035E+05  1.425779E+07  5.276087E+06
1.035211E-03  3.979940E+08  1.512308E+07  1.207088E+05  1.279513E+07  5.449138E+06
1.059324E-03  3.875527E+08  1.449236E+07  2.190706E+05  1.467773E+07  4.819553E+06
1.083999E-03  3.800978E+08  1.638566E+07  6.587198E+04  1.320733E+07  5.780266E+06
1.109248E-03  3.742137E+08  1.559425E+07  2.574902E+05  1.319637E+07  4.715289E+06
1.135086E-03  3.642173E+08  1.564818E+07  2.516290E+05  1.383960E+07  5.818921E+06
1.161526E-03  3.568795E+08  1.576842E+07  2.305324E+05  1.367826E+07  5.348352E+06
1.188581E-03  3.488611E+08  1.455340E+07  1.952469E+05  1.395264E+07  5.376798E+06
1.216267E-03  3.373535E+08  1.494130E+07  2.788652E+05  1.342956E+07  4.975542E+06
1.244597E-03  3.283692E+08  1.503149E+07  2.151454E+05  1.341073E+07  5.837611E+06
1.273587E-03  3.191005E+08  1.422679E+07  1.822150E+05  1.353997E+07  5.368334E+06
1.303253E-03  3.180829E+08  1.487547E+07  2.465547E+05  1.372488E+07  5.150253E+06
1.333610E-03  3.058362E+08  1.532661E+07  2.141710E+05  1.279672E+07  5.447975E+06
1.364674E-03  3.040808E+08  1.504314E+07  1.700529E+05  1.344726E+07  5.193154E+06
1.396461E-03  2.905373E+08  1.504587E+07  2.556647E+05  1.422774E+07  5.458441E+06
1.428989E-03  2.883087E+08  1.431612E+07  2.498450E+05  1.310437E+07  5.184285E+06
1.462274E-03  2.799026E+08  1.430765E+07  2.319500E+05  1.368505E+07  5.481344E+06
1.496335E-03  2.758695E+08  1.472163E+07  1.789501E+05  1.405355E+07  5.237274E+06
1.531189E-03  2.679694E+08  1.591378E+07  1.748767E+05  1.317405E+07  4.931523E+06
1.566855E-03  2.651167E+08  1.437805E+07  2.392545E+05  1.348939E+07  5.149667E+06
1.603352E-03  2.586254E+08  1.566516E+07  1.781397E+05  1.382809E+07  5.043580E+06
