# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  B10  B11  O16  Sr86  Sr87  Sr88
1.011646E-03  4.629025E+08  1.212421E+06  1.357912E+07  3.006805E+07  8.891090E+05  2.222772E+05  4.405131E+06
1.035211E-03  4.514966E+08  1.402041E+06  1.315154E+07  3.106212E+07  8.688704E+05  2.567117E+05  3.376746E+06
1.059324E-03  4.455613E+08  1.370127E+06  1.258201E+07  3.049014E+07  8.297949E+05  3.473560E+05  3.203394E+06
1.083999E-03  4.362300E+08  1.263505E+06  1.301222E+07  2.945665E+07  6.223236E+05  3.771658E+05  3.526500E+06
1.109248E-03  4.221168E+08  1.271603E+06  1.336104E+07  2.911786E+07  6.450158E+05  4.054385E+05  3.354082E+06
1.135086E-03  4.120040E+08  1.530810E+06  1.375928E+07  2.998586E+07  7.023716E+05  3.241715E+05  3.655934E+06
1.161526E-03  4.074479E+08  1.460765E+06  1.388607E+07  2.933850E+07  5.807862E+05  5.103878E+05  3.044727E+06
1.188581E-03  3.999447E+08  1.169530E+06  1.332920E+07  2.994340E+07  7.223565E+05  5.159690E+05  3.319400E+06
1.216267E-03  3.872777E+08  1.176523E+06  1.334513E+07  2.983326E+07  6.891062E+05  3.697643E+05  3.210227E+06
1.244597E-03  3.774603E+08  1.445390E+06  1.404328E+07  2.954837E+07  4.763216E+05  3.777723E+05  2.759381E+06
1.273587E-03  3.679533E+08  1.316183E+06  1.354705E+07  3.036851E+07  8.507034E+05  3.370712E+05  3.033641E+06
1.303253E-03  3.616011E+08  1.145052E+06  1.331711E+07  3.033603E+07  6.117401E+05  2.666559E+05  3.576327E+06
1.333610E-03  3.524963E+08  1.379573E+06  1.325923E+07  3.048857E+07  4.445292E+05  3.219005E+05  2.912433E+06
1.364674E-03  3.467644E+08  1.333191E+06  1.307725E+07  3.028890E+07  6.441259E+05  2.696341E+05  2.711321E+06
1.396461E-03  3.358116E+08  1.507785E+06  1.358471E+07  3.128289E+07  4.684382E+05  3.074126E+05  3.279067E+06
1.428989E-03  3.297984E+08  1.387631E+06  1.440561E+07  3.064233E+07  6.008300E+05  2.718040E+05  2.675124E+06
1.462274E-03  3.191039E+08  1.411964E+06  1.332279E+07  2.867266E+07  5.871534E+05  3.355163E+05  2.390553E+06
1.496335E-03  3.153786E+08  1.352501E+06  1.330642E+07  2.979600E+07  5.054801E+05  2.868941E+05  2.390784E+06
1.531189E-03  3.083198E+08  1.562026E+06  1.339070E+07  3.033267E+07  4.806233E+05  3.204155E+05  2.696831E+06
1.566855E-03  2.989924E+08  1.278581E+06  1.315112E+07  2.982487E+07  4.827297E+05  2.217947E+05  2.544116E+06
1.603352E-03  2.948257E+08  1.504473E+06  1.336176E+07  2.909497E+07  3.314940E+05  3.187442E+05  2.588203E+06
1.640699E-03  2.834672E+08  1.619741E+06  1.412913E+07  3.000259E+07  4.111651E+05  1.868932E+05  2.230259E+06
1.678915E-03  2.804240E+08  1.388057E+06  1.360052E+07  2.973363E+07  3.165743E+05  2.069909E+05  2.094261E+06
1.718022E-03  2.726248E+08  1.356461E+06  1.245802E+07  3.024669E+07  4.640523E+05  2.379755E+05  2.689124E+06
1.758040E-03  2.643726E+08  1.558142E+06  1.332561E+07  2.995354E+07  4.883730E+05  3.255820E+05  2.418609E+06
1.798990E-03  2.627750E+08  1.204504E+06  1.341999E+07  2.827175E+07  3.295341E+05  1.818119E+05  2.386281E+06
1.840894E-03  2.567269E+08  1.543537E+06  1.294795E+07  3.085964E+07  4.774971E+05  1.998825E+05  2.431904E+06
1.883774E-03  2.479314E+08  1.540958E+06  1.298962E+07  3.026571E+07  5.100352E+05  1.627772E+05  2.387399E+06
1.927653E-03  2.437724E+08  1.484671E+06  1.408317E+07  3.037214E+07  4.347966E+05  2.439103E+05  2.227007E+06
1.972553E-03  2.393220E+08  1.606327E+06  1.325479E+07  3.059276E+07  3.938093E+05  1.865412E+05  2.114134E+06
2.018500E-03  2.347150E+08  1.519125E+06  1.308473E+07  2.977485E+07  4.354826E+05  1.519125E+05  2.015373E+06
2.065517E-03  2.298770E+08  1.385576E+06  1.321246E+07  2.921586E+07  3.463940E+05  1.682485E+05  1.840837E+06
2.113629E-03  2.244122E+08  1.325021E+06  1.326956E+07  3.052385E+07  2.611356E+05  2.127772E+05  2.031055E+06
2.162862E-03  2.180564E+08  1.323215E+06  1.278793E+07  2.961166E+07  3.875129E+05  1.701276E+05  1.871404E+06
2.213241E-03  2.125294E+08  1.727205E+06  1.404855E+07  2.973194E+07  3.879284E+05  1.847278E+05  1.985824E+06
2.264794E-03  2.084588E+08  1.408079E+06  1.325038E+07  2.920861E+07  3.610458E+05  2.256536E+05  2.039909E+06
2.317548E-03  2.022054E+08  1.411310E+06  1.364560E+07  2.919647E+07  2.557999E+05  1.852344E+05  1.878806E+06
